Characteristic,Sub-Characteristic,1989 - Median,1989 - Mean,1992 - Median,1992 - Mean,1995 - Median,1995 - Mean,1998 - Median,1998 - Mean,2001 - Median,2001 - Mean,2004 - Median,2004 - Mean,2007 - Median,2007 - Mean,2010 - Median,2010 - Mean,2013 - Median,2013 - Mean,2016 - Median,2016 - Mean
Family structure,"Couple, no child",208940.0,664790.0,173380.0,529530.0,181340.0,568710.0,219060.0,711530.0,238120.0,873320.0,265290.0,957950.0,259279.99999999997,1099180.0,226560.0,950860.0,220380.0,970700.0,225620.0,1250260.0
Education of head,No high school diploma,45120.0,155250.0,31360.0,117530.0,36020.0,131340.0,30980.0,116400.0,34430.0,142760.0,26200.0,173190.0,38330.0,165470.0,18020.0,122230.0,17890.0,111620.0,22820.0,157280.0
Education of head,High school diploma,68480.0,210090.0,64400.00000000001,187420.0,81010.0,208710.0,79900.0,232730.0,78580.0,245520.0,86990.0,251010.0,93220.0,291570.0,62670.0,239170.0,54030.0,205950.0,67000.0,249450.0
Education of head,Some college,87060.0,344840.0,96430.0,282600.0,78690.0,285980.0,112360.0,332170.0,112380.0,370770.0,100620.0,384510.0,112690.0,418080.0,63000.0,301920.0,51970.0,328490.0,66040.0,340090.0
Education of head,College degree,237390.0,765690.0,184310.0,621670.0,189390.0,690990.0,254220.0,906330.0,328840.0,1230610.0,342870.0,1229190.0,375430.0,1454720.0,274040.0,1233900.0,285620.0,1199670.0,292110.0,1504170.0
Race or ethnicity of respondent,White non-Hispanic,134680.0,431610.0,116890.0,374010.0,120270.0,395280.0,141610.0,499910.0,166510.0,662480.0,179280.0,715970.0,198620.0,802050.0,143420.0,717520.0,146310.0,718170.0,171000.0,929840.0
Race or ethnicity of respondent,Black or African-American non-hispanic,8020.0,77430.0,16600.0,80780.0,17100.0,68910.0,22870.0,94550.0,26150.0,97080.0,25940.0,142860.0,24320.0,155690.0,17570.0,109730.0,13490.0,102110.0,17150.0,138060.0
Race or ethnicity of respondent,Hispanic or Latino,9330.0,84400.0,11390.0,90750.0,19580.0,96430.0,14500.0,128520.00000000001,15850.0,119860.0,19510.0,158150.0,24430.0,215530.0,18290.0,128030.0,14230.0,111160.0,20720.0,191430.0
Race or ethnicity of respondent,Other or Multiple Race,67540.0,306100.0,62300.0,331950.0,48670.0,324070.0,56660.0,322650.0,71130.0,418990.0,90170.0,370260.0,70520.0,457200.0,47200.0,369300.0,42230.0,384440.0,64620.00000000001,457690.0
Current work status of head,Working for someone else,71460.0,213800.0,66330.0,206030.0,77520.0,215670.0,77310.0,249660.0,88610.0,308870.0,85600.0,343360.0,108390.0,407210.0,60900.0,329010.0,64019.99999999999,324580.0,70650.0,413220.0
Current work status of head,Self-employed,316260.0,1239910.0,246530.0,1008610.0,244450.0,1105630.0,366500.0,1362620.0,474200.0,1691540.0,442330.0,1810630.0,450470.0,2265040.0,314470.0,1900490.0,370680.0,2187060.0,312370.0,2379580.0
Current work status of head,Retired,126260.0,347600.0,118230.0,318130.0,127160.0,353830.0,167170.0,446870.0,156470.0,617870.0,177780.0,596220.0,186670.0,629420.0,166350.0,535120.0,132500.0,516679.99999999994,158400.0,709700.0
Current work status of head,Other not working,1080.0,86910.0,5530.0,89090.0,5700.0,89310.0,5310.0,159150.0,10570.0,241470.0,14820.0,206250.0,6600.0,143090.0,13150.0,148910.0,9340.0,139350.0,8170.0,102040.0
Current occupation of head,Managerial or professional,208570.0,716030.0,170690.0,632760.0,173500.0,681570.0,195940.0,803170.0,268400.0,1042079.9999999999,251050.0,1099650.0,286260.0,1294090.0,183820.0,1145030.0,198590.0,1080380.0,205000.0,1343060.0
Current occupation of head,"Technical, sales, or services",52110.0,243780.0,61380.0,230380.0,57860.0,250690.0,60940.0,284420.0,62730.0,267690.0,57690.0,314760.0,85550.0,359340.0,35950.0,241390.0,32640.0,275920.0,43200.0,326060.0
Current occupation of head,Other occupation,68960.0,208100.0,54960.0,146720.0,71570.0,176990.0,73480.0,185620.0,67280.0,184720.0,72260.0,187730.0,74980.0,222480.0,51490.0,179550.0,50770.0,177670.0,51600.0,204240.0
Current occupation of head,Retired or other not working,82100.0,293250.0,83860.0,263840.0,97500.0,300060.0,121430.0,396820.0,130880.0,556650.0,140790.0,535690.0,149380.0,553500.0,103240.0,452480.0,93620.0,444780.0,116620.0,615220.0
Housing status,Owner,187690.0,508640.0,166200.0,454110.0,162630.0,478310.0,195060.0,599140.0,233980.0,760110.0,234900.0,796330.0,272080.0,901720.0,191230.0,782520.0,201580.0,797460.0,231420.0,1030760.0
Housing status,Renter or other,3730.0,78760.0,5450.0,64930.00000000001,7550.0,68710.0,6200.0,63810.0,6530.0,74680.0,5150.0,68920.0,5910.0,82520.0,5640.0,62700.0,5570.0,72580.0,5000.0,90200.0
Percentile of net worth,Less than 25,210.0,-1010.0,840.0,-940.0,1490.0,-230.0,740.0,-2730.0,1630.0,110.0,2160.0,-1700.0,1520.0,-2440.0,0.0,-13420.0,0.0,-13370.0,100.0,-11900.0
Percentile of net worth,25–49.9,39180.0,43190.0,39550.0,42710.0,44350.0,47960.0,48450.0,53070.0,55550.0,60240.0,55450.0,59980.0,62780.0,67320.0,35700.0,39380.0,32340.000000000004,36980.0,39920.0,44670.0
Percentile of net worth,50–74.9,162890.0,167400.0,147410.0,152200.0,148960.0,156030.0,178180.0,189890.0,213930.0,226830.0,217600.0,236370.0,255450.0,263730.0,173320.0,185790.0,173460.0,183240.0,192050.0,204060.0
Percentile of net worth,75–89.9,394910.0,424880.0,342790.0,367380.0,347200.0,373840.0,458760.0,476120.0,584550.0,612870.0,648480.0,672640.0,662620.0,680940.0,530470.0,580310.0,520789.99999999994,563240.0,605000.0,659160.0
Percentile of net worth,90–100,1289310.0,2368390.0,1120280.0,2100890.0,1071700.0,2266620.0,1328350.0,2868970.0,1784070.0,3746780.0,1818010.0,3966330.0,2196990.0,4602990.0,2060110.0000000002,4069690.0,1929820.0,4085680.0,2386500.0,5310880.0
