SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families that saved (%),Percentage of families (%)
1,Public-Real,1992,Family structure,"Couple, no child",56719.0,82425.0,0.652141,0.24725000000000003
1,Public-Real,1992,Education of head,No high school diploma,20625.0,29232.0,0.381054,0.20344
1,Public-Real,1992,Education of head,High school diploma,39532.0,50450.0,0.567754,0.30015000000000003
1,Public-Real,1992,Education of head,Some college,49844.0,63651.0,0.610912,0.22131
1,Public-Real,1992,Education of head,College degree,79063.0,116232.0,0.681357,0.2751
1,Public-Real,1992,Race or ethnicity of respondent,White non-Hispanic,51563.0,74201.0,0.6104229999999999,0.7528900000000001
1,Public-Real,1992,Race or ethnicity of respondent,Black or African-American non-hispanic,29219.0,40202.0,0.42424599999999996,0.12667
1,Public-Real,1992,Race or ethnicity of respondent,Hispanic or Latino,29219.0,38638.0,0.387746,0.07492
1,Public-Real,1992,Race or ethnicity of respondent,Other or Multiple Race,46407.0,72500.0,0.619654,0.04552
1,Public-Real,1992,Current work status of head,Working for someone else,58438.0,73513.0,0.631995,0.54783
1,Public-Real,1992,Current work status of head,Self-employed,75626.0,127676.0,0.59311,0.10951000000000001
1,Public-Real,1992,Current work status of head,Retired,25782.0,38456.0,0.48117400000000005,0.26144
1,Public-Real,1992,Current work status of head,Other not working,18906.0,35019.0,0.413705,0.08122
1,Public-Real,1992,Current occupation of head,Managerial or professional,82501.0,123498.0,0.6742199999999999,0.2198
1,Public-Real,1992,Current occupation of head,"Technical, sales, or services",49844.0,63322.0,0.603926,0.23959
1,Public-Real,1992,Current occupation of head,Other occupation,49844.0,60308.0,0.597572,0.19794
1,Public-Real,1992,Current occupation of head,Retired or other not working,24063.0,37641.0,0.465182,0.34265999999999996
1,Public-Real,1992,Housing status,Owner,58438.0,82208.0,0.6316120000000001,0.63929
1,Public-Real,1992,Housing status,Renter or other,29219.0,40469.0,0.46240299999999995,0.36071
1,Public-Real,1992,Percentile of net worth,Less than 25,22344.0,29217.0,0.374984,0.24995
1,Public-Real,1992,Percentile of net worth,25–49.9,41250.0,46374.0,0.524134,0.25004000000000004
1,Public-Real,1992,Percentile of net worth,50–74.9,55001.0,60989.0,0.635706,0.25
1,Public-Real,1992,Percentile of net worth,75–89.9,72188.0,85501.0,0.705554,0.14999
1,Public-Real,1992,Percentile of net worth,90–100,135783.0,201785.0,0.810262,0.10002000000000001
1,Public-Real,1995,,All families,48112.0,69950.0,0.551965,1.0
1,Public-Real,1995,Percentile of income,Less than 20,10745.0,10413.0,0.31434999999999996,0.2
1,Public-Real,1995,Percentile of income,20–39.9,27263.0,27557.0,0.433421,0.19999
1,Public-Real,1995,Percentile of income,40–59.9,48112.0,47177.0,0.5713170000000001,0.2
1,Public-Real,1995,Percentile of income,60–79.9,70564.0,72479.0,0.670859,0.2
1,Public-Real,1995,Percentile of income,80–89.9,107450.0,109001.0,0.7021630000000001,0.09999000000000001
1,Public-Real,1995,Percentile of income,90–100,176410.0,275183.0,0.8375149999999999,0.10003000000000001
1,Public-Real,1995,Age of head (years),Less than 35,40093.0,48908.0,0.5637530000000001,0.24766
1,Public-Real,1995,Age of head (years),35–44,59338.0,76445.0,0.543462,0.23010999999999998
1,Public-Real,1995,Age of head (years),45–54,62546.0,103708.0,0.580426,0.17853000000000002
1,Public-Real,1995,Age of head (years),55–64,52923.0,84594.0,0.580355,0.12508
1,Public-Real,1995,Age of head (years),65–74,30471.0,58760.0,0.5004460000000001,0.12043
1,Public-Real,1995,Age of head (years),75 or more,25660.0,41493.0,0.517431,0.09820000000000001
1,Public-Real,1995,Family structure,Single with child(ren),25660.0,32921.0,0.36930399999999997,0.11996000000000001
1,Public-Real,1995,Family structure,"Single, no child, age less than 55",35282.0,41721.0,0.510856,0.15768000000000001
1,Public-Real,1995,Family structure,"Single, no child, age 55 or more",20849.0,34848.0,0.44357599999999997,0.1376
1,Public-Real,1995,Family structure,Couple with child(ren),67357.0,94916.0,0.601156,0.3189
1,Public-Real,1995,Family structure,"Couple, no child",59338.0,91619.0,0.655854,0.26586
1,Public-Real,1995,Education of head,No high school diploma,22452.0,32777.0,0.42752,0.18525
1,Public-Real,1995,Education of head,High school diploma,40093.0,54835.0,0.505687,0.31735
1,Public-Real,1995,Education of head,Some college,51319.0,65184.0,0.56058,0.24818
1,Public-Real,1995,Education of head,College degree,75375.0,121572.0,0.694811,0.24922999999999998
1,Public-Real,1995,Race or ethnicity of respondent,White non-Hispanic,51319.0,76935.0,0.590859,0.77589
1,Public-Real,1995,Race or ethnicity of respondent,Black or African-American non-hispanic,27263.0,35848.0,0.379901,0.12795
1,Public-Real,1995,Race or ethnicity of respondent,Hispanic or Latino,33678.0,49142.0,0.440465,0.056749999999999995
1,Public-Real,1995,Race or ethnicity of respondent,Other or Multiple Race,54527.0,73098.0,0.505436,0.03941
1,Public-Real,1995,Current work status of head,Working for someone else,57734.0,75868.0,0.603734,0.58265
1,Public-Real,1995,Current work status of head,Self-employed,59338.0,125589.0,0.634366,0.10286
1,Public-Real,1995,Current work status of head,Retired,25660.0,43974.0,0.460071,0.25056
1,Public-Real,1995,Current work status of head,Other not working,17641.0,28291.0,0.307744,0.06393
1,Public-Real,1995,Current occupation of head,Managerial or professional,83394.0,128098.99999999999,0.6950069999999999,0.19804
1,Public-Real,1995,Current occupation of head,"Technical, sales, or services",48112.0,66973.0,0.548839,0.24600999999999998
1,Public-Real,1995,Current occupation of head,Other occupation,54527.0,63274.0,0.597851,0.24146
1,Public-Real,1995,Current occupation of head,Retired or other not working,25660.0,40786.0,0.429105,0.31449
1,Public-Real,1995,Housing status,Owner,59338.0,86663.0,0.6127750000000001,0.6470699999999999
1,Public-Real,1995,Housing status,Renter or other,28867.0,39306.0,0.440472,0.35292999999999997
1,Public-Real,1995,Percentile of net worth,Less than 25,22452.0,29068.0,0.357575,0.24996
1,Public-Real,1995,Percentile of net worth,25–49.9,44904.0,49075.0,0.512509,0.24995
1,Public-Real,1995,Percentile of net worth,50–74.9,56131.0,63818.0,0.595783,0.25003
1,Public-Real,1995,Percentile of net worth,75–89.9,67357.0,82615.0,0.686915,0.15003
1,Public-Real,1995,Percentile of net worth,90–100,126695.0,220603.0,0.824395,0.10003000000000001
1,Public-Real,1998,,All families,49349.0,78264.0,0.558737,1.0
1,Public-Real,1998,Percentile of income,Less than 20,12113.0,11604.0,0.3208,0.19998000000000002
1,Public-Real,1998,Percentile of income,20–39.9,29909.0,29717.0,0.449048,0.20001000000000002
1,Public-Real,1998,Percentile of income,40–59.9,49349.0,50068.0,0.560647,0.19996
1,Public-Real,1998,Percentile of income,60–79.9,79258.0,80061.0,0.685991,0.20001000000000002
1,Public-Real,1998,Percentile of income,80–89.9,116644.0,117285.0,0.7340800000000001,0.10002000000000001
1,Public-Real,1998,Percentile of income,90–100,192912.0,322381.0,0.820181,0.10002000000000001
1,Public-Real,1998,Age of head (years),Less than 35,40377.0,53270.0,0.529632,0.23274999999999998
1,Public-Real,1998,Age of head (years),35–44,62808.0,88446.0,0.573155,0.23257000000000003
1,Public-Real,1998,Age of head (years),45–54,74772.0,102624.0,0.5782609999999999,0.19196000000000002
1,Public-Real,1998,Age of head (years),55–64,56827.0,105413.0,0.609478,0.12843
1,Public-Real,1998,Age of head (years),65–74,35891.0,68567.0,0.563482,0.11223000000000001
1,Public-Real,1998,Age of head (years),75 or more,23927.0,42748.0,0.486463,0.10206
1,Public-Real,1998,Family structure,Single with child(ren),25422.0,37215.0,0.38953299999999996,0.11349999999999999
1,Public-Real,1998,Family structure,"Single, no child, age less than 55",35891.0,45403.0,0.52004,0.16365
1,Public-Real,1998,Family structure,"Single, no child, age 55 or more",25422.0,38554.0,0.47975700000000004,0.13762
1,Public-Real,1998,Family structure,Couple with child(ren),76267.0,106584.0,0.591156,0.32708
1,Public-Real,1998,Family structure,"Couple, no child",62808.0,102433.0,0.658694,0.25815
1,Public-Real,1998,Education of head,No high school diploma,22432.0,32009.0,0.395285,0.16463999999999998
1,Public-Real,1998,Education of head,High school diploma,43368.0,54592.0,0.5374,0.31866
1,Public-Real,1998,Education of head,Some college,52340.0,73973.0,0.573137,0.24928
1,Public-Real,1998,Education of head,College degree,88231.0,138950.0,0.671371,0.26742
1,Public-Real,1998,Race or ethnicity of respondent,White non-Hispanic,56827.0,87076.0,0.599632,0.7685200000000001
1,Public-Real,1998,Race or ethnicity of respondent,Black or African-American non-hispanic,28413.0,42172.0,0.375238,0.11592000000000001
1,Public-Real,1998,Race or ethnicity of respondent,Hispanic or Latino,34395.0,46583.0,0.448543,0.07178
1,Public-Real,1998,Race or ethnicity of respondent,Other or Multiple Race,49349.0,71085.0,0.507388,0.043769999999999996
1,Public-Real,1998,Current work status of head,Working for someone else,59818.0,78914.0,0.598054,0.59186
1,Public-Real,1998,Current work status of head,Self-employed,77763.0,160381.0,0.610499,0.11263
1,Public-Real,1998,Current work status of head,Retired,28413.0,48124.0,0.486143,0.2441
1,Public-Real,1998,Current work status of head,Other not working,16450.0,33981.0,0.337351,0.051399999999999994
1,Public-Real,1998,Current occupation of head,Managerial or professional,89726.0,142211.0,0.68395,0.24195
1,Public-Real,1998,Current occupation of head,"Technical, sales, or services",44863.0,69045.0,0.554011,0.21308
1,Public-Real,1998,Current occupation of head,Other occupation,55331.0,62734.0,0.557982,0.24946000000000002
1,Public-Real,1998,Current occupation of head,Retired or other not working,25422.0,45664.0,0.46026000000000006,0.29551
1,Public-Real,1998,Housing status,Owner,64304.0,98063.0,0.622237,0.66256
1,Public-Real,1998,Housing status,Renter or other,29909.0,39389.0,0.434052,0.33744
1,Public-Real,1998,Percentile of net worth,Less than 25,23927.0,29992.0,0.36337899999999995,0.24992999999999999
1,Public-Real,1998,Percentile of net worth,25–49.9,44863.0,49892.0,0.5022829999999999,0.25005
1,Public-Real,1998,Percentile of net worth,50–74.9,59818.0,69219.0,0.618386,0.25
1,Public-Real,1998,Percentile of net worth,75–89.9,83745.0,99421.0,0.719934,0.14999
1,Public-Real,1998,Percentile of net worth,90–100,130103.00000000001,260652.0,0.797142,0.10005000000000001
1,Public-Real,2001,,All families,54344.0,93700.0,0.592382,1.0
1,Public-Real,2001,Percentile of income,Less than 20,13934.0,13569.0,0.298306,0.19997
1,Public-Real,2001,Percentile of income,20–39.9,33442.0,32692.999999999996,0.5382589999999999,0.19996
1,Public-Real,2001,Percentile of income,40–59.9,54344.0,54619.0,0.611244,0.20001000000000002
1,Public-Real,2001,Percentile of income,60–79.9,87786.0,88359.0,0.7170829999999999,0.19999
1,Public-Real,2001,Percentile of income,80–89.9,133769.0,132959.0,0.750757,0.09996000000000001
1,Public-Real,2001,Percentile of income,90–100,229915.0,425214.0,0.843001,0.1001
1,Public-Real,2001,Age of head (years),Less than 35,44590.0,59886.0,0.52929,0.22734000000000001
1,Public-Real,2001,Age of head (years),35–44,69671.0,104428.0,0.622525,0.22302
1,Public-Real,2001,Age of head (years),45–54,73851.0,131853.0,0.617125,0.20602
1,Public-Real,2001,Age of head (years),55–64,61311.0,121244.0,0.620113,0.13247
1,Public-Real,2001,Age of head (years),65–74,37622.0,78336.0,0.617648,0.1074
1,Public-Real,2001,Age of head (years),75 or more,30655.0,49708.0,0.555138,0.10374
1,Public-Real,2001,Family structure,Single with child(ren),30655.0,39952.0,0.450216,0.11392
1,Public-Real,2001,Family structure,"Single, no child, age less than 55",39016.0,61440.0,0.5595060000000001,0.15116
1,Public-Real,2001,Family structure,"Single, no child, age 55 or more",22295.0,44054.0,0.494229,0.13180999999999998
1,Public-Real,2001,Family structure,Couple with child(ren),84999.0,127558.0,0.619913,0.31062999999999996
1,Public-Real,2001,Family structure,"Couple, no child",69671.0,117721.0,0.679735,0.29248999999999997
1,Public-Real,2001,Education of head,No high school diploma,22295.0,34018.0,0.38658299999999995,0.16003
1,Public-Real,2001,Education of head,High school diploma,45983.0,60697.0,0.566502,0.31727
1,Public-Real,2001,Education of head,Some college,55737.0,77040.0,0.621081,0.23881
1,Public-Real,2001,Education of head,College degree,98933.0,178245.0,0.7131770000000001,0.28388
1,Public-Real,2001,Race or ethnicity of respondent,White non-Hispanic,61311.0,106311.0,0.631166,0.7538800000000001
1,Public-Real,2001,Race or ethnicity of respondent,Black or African-American non-hispanic,33442.0,50556.0,0.460463,0.12592
1,Public-Real,2001,Race or ethnicity of respondent,Hispanic or Latino,33442.0,52294.0,0.434461,0.07817
1,Public-Real,2001,Race or ethnicity of respondent,Other or Multiple Race,47376.0,73770.0,0.585653,0.042030000000000005
1,Public-Real,2001,Current work status of head,Working for someone else,64096.99999999999,93692.0,0.616115,0.6087899999999999
1,Public-Real,2001,Current work status of head,Self-employed,84999.0,188461.0,0.704529,0.11704
1,Public-Real,2001,Current work status of head,Retired,27868.0,53960.0,0.504359,0.22957999999999998
1,Public-Real,2001,Current work status of head,Other not working,22295.0,49694.0,0.42719,0.04459
1,Public-Real,2001,Current occupation of head,Managerial or professional,97540.0,175486.0,0.724131,0.27077
1,Public-Real,2001,Current occupation of head,"Technical, sales, or services",48770.0,72042.0,0.58254,0.23850000000000002
1,Public-Real,2001,Current occupation of head,Other occupation,55737.0,66484.0,0.565818,0.21655000000000002
1,Public-Real,2001,Current occupation of head,Retired or other not working,27868.0,53266.0,0.491809,0.27417
1,Public-Real,2001,Housing status,Owner,71065.0,117591.0,0.666809,0.67688
1,Public-Real,2001,Housing status,Renter or other,33442.0,43654.0,0.43646799999999997,0.32311999999999996
1,Public-Real,2001,Percentile of net worth,Less than 25,26475.0,32442.999999999996,0.345304,0.24997
1,Public-Real,2001,Percentile of net worth,25–49.9,47376.0,53593.0,0.5419149999999999,0.24999
1,Public-Real,2001,Percentile of net worth,50–74.9,69671.0,80031.0,0.681831,0.24998
1,Public-Real,2001,Percentile of net worth,75–89.9,94753.0,106275.0,0.7734260000000001,0.14999
1,Public-Real,2001,Percentile of net worth,90–100,171391.0,362229.0,0.8408599999999999,0.10006999999999999
1,Public-Real,2004,,All families,54858.0,89872.0,0.560936,1.0
1,Public-Real,2004,Percentile of income,Less than 20,14368.0,13748.0,0.339319,0.19996
1,Public-Real,2004,Percentile of income,20–39.9,32654.000000000004,33170.0,0.439797,0.20001000000000002
1,Public-Real,2004,Percentile of income,40–59.9,54858.0,55227.0,0.5408149999999999,0.20001000000000002
1,Public-Real,2004,Percentile of income,60–79.9,86205.0,87979.0,0.6951940000000001,0.19999
1,Public-Real,2004,Percentile of income,80–89.9,133226.0,135526.0,0.773942,0.10000999999999999
1,Public-Real,2004,Percentile of income,90–100,235106.0,382873.0,0.80506,0.10002000000000001
1,Public-Real,2004,Age of head (years),Less than 35,41797.0,57397.0,0.549683,0.22187
1,Public-Real,2004,Age of head (years),35–44,64001.00000000001,93981.0,0.5803159999999999,0.20617999999999997
1,Public-Real,2004,Age of head (years),45–54,78369.0,119900.0,0.584801,0.20765
1,Public-Real,2004,Age of head (years),55–64,69226.0,126907.0,0.5845199999999999,0.1524
1,Public-Real,2004,Age of head (years),65–74,42450.0,75964.0,0.5710000000000001,0.10477
1,Public-Real,2004,Age of head (years),75 or more,30041.0,51936.0,0.45728499999999994,0.10711999999999999
1,Public-Real,2004,Family structure,Single with child(ren),32654.000000000004,41826.0,0.399692,0.12093
1,Public-Real,2004,Family structure,"Single, no child, age less than 55",36572.0,49919.0,0.52793,0.1528
1,Public-Real,2004,Family structure,"Single, no child, age 55 or more",27429.0,42678.0,0.457218,0.14661
1,Public-Real,2004,Family structure,Couple with child(ren),83593.0,125901.0,0.617467,0.31675000000000003
1,Public-Real,2004,Family structure,"Couple, no child",74450.0,118102.0,0.644014,0.26292000000000004
1,Public-Real,2004,Education of head,No high school diploma,24817.0,32951.0,0.358934,0.14432999999999999
1,Public-Real,2004,Education of head,High school diploma,45715.0,56978.0,0.540255,0.30595
1,Public-Real,2004,Education of head,Some college,56164.0,73133.0,0.52762,0.24420999999999998
1,Public-Real,2004,Education of head,College degree,100573.0,163085.0,0.703711,0.30551
1,Public-Real,2004,Race or ethnicity of respondent,White non-Hispanic,62695.0,102456.0,0.6011310000000001,0.72214
1,Public-Real,2004,Race or ethnicity of respondent,Black or African-American non-hispanic,35266.0,49595.0,0.42877200000000004,0.13057
1,Public-Real,2004,Race or ethnicity of respondent,Hispanic or Latino,35266.0,50232.0,0.429543,0.08956
1,Public-Real,2004,Race or ethnicity of respondent,Other or Multiple Race,57470.0,85060.0,0.560914,0.05772
1,Public-Real,2004,Current work status of head,Working for someone else,62695.0,89033.0,0.5921690000000001,0.6004999999999999
1,Public-Real,2004,Current work status of head,Self-employed,84899.0,179815.0,0.687286,0.11845
1,Public-Real,2004,Current work status of head,Retired,31347.0,54902.0,0.43951999999999997,0.23742000000000002
1,Public-Real,2004,Current work status of head,Other not working,26123.0,47524.0,0.448718,0.04362
1,Public-Real,2004,Current occupation of head,Managerial or professional,98222.0,162674.0,0.676519,0.28256
1,Public-Real,2004,Current occupation of head,"Technical, sales, or services",47021.0,67539.0,0.55408,0.22063
1,Public-Real,2004,Current occupation of head,Other occupation,57470.0,64411.0,0.572873,0.21577000000000002
1,Public-Real,2004,Current occupation of head,Retired or other not working,30041.0,53757.0,0.440948,0.28105
1,Public-Real,2004,Housing status,Owner,70532.0,110943.0,0.622769,0.69053
1,Public-Real,2004,Housing status,Renter or other,31347.0,42857.0,0.422969,0.30946999999999997
1,Public-Real,2004,Percentile of net worth,Less than 25,26123.0,31800.0,0.345087,0.24998
1,Public-Real,2004,Percentile of net worth,25–49.9,47021.0,53688.0,0.538793,0.25
1,Public-Real,2004,Percentile of net worth,50–74.9,66613.0,77268.0,0.620295,0.25001999999999996
1,Public-Real,2004,Percentile of net worth,75–89.9,97961.0,111892.0,0.725942,0.15
1,Public-Real,2004,Percentile of net worth,90–100,182860.0,323972.0,0.7599509999999999,0.10000999999999999
1,Public-Real,2007,,All families,54779.0,97446.0,0.564474,1.0
1,Public-Real,2007,Percentile of income,Less than 20,14290.0,14244.0,0.340625,0.19997
1,Public-Real,2007,Percentile of income,20–39.9,33344.0,32774.0,0.44796199999999997,0.20001000000000002
1,Public-Real,2007,Percentile of income,40–59.9,54779.0,54753.0,0.579204,0.19995000000000002
1,Public-Real,2007,Percentile of income,60–79.9,86932.0,88666.0,0.665426,0.20001999999999998
1,Public-Real,2007,Percentile of income,80–89.9,132185.0,134361.0,0.73019,0.09998
1,Public-Real,2007,Percentile of income,90–100,239362.0,459000.0,0.847928,0.10005000000000001
1,Public-Real,2007,Age of head (years),Less than 35,42871.0,59920.0,0.588777,0.21647
1,Public-Real,2007,Age of head (years),35–44,65497.0,96847.0,0.5644830000000001,0.1959
1,Public-Real,2007,Age of head (years),45–54,73833.0,130014.00000000001,0.5579999999999999,0.20774
1,Public-Real,2007,Age of head (years),55–64,63115.0,128511.0,0.5843010000000001,0.16849
1,Public-Real,2007,Age of head (years),65–74,45253.0,106596.0,0.5668070000000001,0.10522999999999999
1,Public-Real,2007,Age of head (years),75 or more,26354.0,52967.0,0.493798,0.10617000000000001
1,Public-Real,2007,Family structure,Single with child(ren),33344.0,48787.0,0.414962,0.1226
1,Public-Real,2007,Family structure,"Single, no child, age less than 55",39298.0,54609.0,0.550353,0.13968999999999998
1,Public-Real,2007,Family structure,"Single, no child, age 55 or more",28581.0,42392.0,0.485473,0.14937
1,Public-Real,2007,Family structure,Couple with child(ren),82169.0,130858.0,0.6027600000000001,0.31689
1,Public-Real,2007,Family structure,"Couple, no child",71451.0,132759.0,0.63805,0.27143999999999996
1,Public-Real,2007,Education of head,No high school diploma,26199.0,36300.0,0.415767,0.13527
1,Public-Real,2007,Education of head,High school diploma,42871.0,59186.0,0.5112639999999999,0.32858
1,Public-Real,2007,Education of head,Some college,54779.0,78700.0,0.555676,0.24439
1,Public-Real,2007,Education of head,College degree,98841.0,184589.0,0.70072,0.29175999999999996
1,Public-Real,2007,Race or ethnicity of respondent,White non-Hispanic,60210.0,112108.0,0.587751,0.7068300000000001
1,Public-Real,2007,Race or ethnicity of respondent,Black or African-American non-hispanic,35726.0,52506.0,0.454999,0.11728999999999999
1,Public-Real,2007,Race or ethnicity of respondent,Hispanic or Latino,41680.0,55552.0,0.509583,0.08607
1,Public-Real,2007,Race or ethnicity of respondent,Other or Multiple Race,59543.0,80892.0,0.576856,0.08981
1,Public-Real,2007,Current work status of head,Working for someone else,65497.0,96172.0,0.603128,0.59931
1,Public-Real,2007,Current work status of head,Self-employed,88123.0,221505.0,0.627569,0.10456
1,Public-Real,2007,Current work status of head,Retired,28581.0,59038.0,0.46604300000000004,0.24989999999999998
1,Public-Real,2007,Current work status of head,Other not working,23817.0,40987.0,0.45275,0.04623
1,Public-Real,2007,Current occupation of head,Managerial or professional,98841.0,180515.0,0.7017319999999999,0.27478
1,Public-Real,2007,Current occupation of head,"Technical, sales, or services",51207.0,78157.0,0.5557070000000001,0.21792999999999998
1,Public-Real,2007,Current occupation of head,Other occupation,57161.0,67073.0,0.535863,0.21117
1,Public-Real,2007,Current occupation of head,Retired or other not working,27390.0,56220.0,0.463968,0.29613
1,Public-Real,2007,Housing status,Owner,71451.0,122108.0,0.609241,0.68636
1,Public-Real,2007,Housing status,Renter or other,32153.0,43476.0,0.466508,0.31364000000000003
1,Public-Real,2007,Percentile of net worth,Less than 25,27390.0,33713.0,0.403829,0.24998
1,Public-Real,2007,Percentile of net worth,25–49.9,47634.0,53898.0,0.528096,0.24998
1,Public-Real,2007,Percentile of net worth,50–74.9,65497.0,77084.0,0.590709,0.25003
1,Public-Real,2007,Percentile of net worth,75–89.9,95268.0,107610.0,0.68919,0.14997
1,Public-Real,2007,Percentile of net worth,90–100,183392.0,401154.0,0.804249,0.10005000000000001
1,Public-Real,2010,,All families,50545.0,86555.0,0.5196390000000001,1.0
1,Public-Real,2010,Percentile of income,Less than 20,14602.0,14249.0,0.32103099999999996,0.2
1,Public-Real,2010,Percentile of income,20–39.9,31450.0,30851.0,0.439231,0.19999
1,Public-Real,2010,Percentile of income,40–59.9,50545.0,51077.0,0.495889,0.2
1,Public-Real,2010,Percentile of income,60–79.9,78625.0,81205.0,0.599246,0.20001000000000002
1,Public-Real,2010,Percentile of income,80–89.9,124677.0,126480.0,0.675666,0.09999000000000001
1,Public-Real,2010,Percentile of income,90–100,226889.0,384259.0,0.809879,0.10002000000000001
1,Public-Real,2010,Age of head (years),Less than 35,38189.0,52679.0,0.545507,0.20968
