Characteristic,Sub-Characteristic,1989 - Income - Median ($),1989 - Mean ($),1989 - Percentage of families that saved (%),1989 - Percentage of families (%),1992 - Income - Median ($),1992 - Mean ($),1992 - Percentage of families that saved (%),1992 - Percentage of families (%),1995 - Income - Median ($),1995 - Mean ($),1995 - Percentage of families that saved (%),1995 - Percentage of families (%),1998 - Income - Median ($),1998 - Mean ($),1998 - Percentage of families that saved (%),1998 - Percentage of families (%),2001 - Income - Median ($),2001 - Mean ($),2001 - Percentage of families that saved (%),2001 - Percentage of families (%),2004 - Income - Median ($),2004 - Mean ($),2004 - Percentage of families that saved (%),2004 - Percentage of families (%),2007 - Income - Median ($),2007 - Mean ($),2007 - Percentage of families that saved (%),2007 - Percentage of families (%),2010 - Income - Median ($),2010 - Mean ($),2010 - Percentage of families that saved (%),2010 - Percentage of families (%),2013 - Income - Median ($),2013 - Mean ($),2013 - Percentage of families that saved (%),2013 - Percentage of families (%),2016 - Income - Median ($),2016 - Mean ($),2016 - Percentage of families that saved (%),2016 - Percentage of families (%)
Education of head,High school diploma,22600.0,29900.0,n.a.,0.322,23800.0,30100.0,0.568,0.3,26100.0,35000.0,0.506,0.317,29200.0,37000.0,0.537,0.319,33900.0,44800.0,0.5670000000000001,0.317,35700.0,44800.0,0.54,0.306,36700.0,51100.0,0.511,0.32899999999999996,36600.0,48100.0,0.474,0.322,37000.0,50700.0,0.47100000000000003,0.313,40500.0,57200.0,0.506,0.26
Education of head,Some college,30300.0,41000.0,n.a.,0.204,29700.0,37900.0,0.611,0.221,32400.0,41600.0,0.561,0.249,35800.0,50200.0,0.575,0.25,41300.0,56300.0,0.621,0.239,44200.0,57800.0,0.527,0.244,47300.0,67900.0,0.557,0.245,45700.0,60500.0,0.516,0.251,43600.0,65200.0,0.495,0.257,47700.0,67400.0,0.542,0.273
Education of head,College degree,47000.0,77400.0,n.a.,0.231,47100.0,69300.0,0.682,0.275,48300.0,77600.0,0.6940000000000001,0.249,59800.0,94700.0,0.6709999999999999,0.267,72400.0,128100.0,0.713,0.284,79100.0,128400.0,0.7040000000000001,0.305,86300.0,160000.0,0.7,0.29100000000000004,80100.0,142200.0,0.629,0.308,87500.0,160200.0,0.674,0.32,92100.0,189700.0,0.66,0.34
Race or ethnicity of respondent,White non-Hispanic,30300.0,46500.0,n.a.,0.748,30700.0,44200.0,0.611,0.753,33100.0,49100.0,0.591,0.7759999999999999,38100.0,59200.0,0.6,0.768,45300.0,77000.0,0.631,0.754,49400.0,80700.0,0.601,0.722,51800.0,97000.0,0.588,0.7070000000000001,52800.0,90100.0,0.5579999999999999,0.675,55800.0,104500.0,0.573,0.672,61200.0,123400.0,0.594,0.647
Race or ethnicity of respondent,Black or African-American non-hispanic,11500.0,19800.0,n.a.,0.128,17100.0,23900.0,0.424,0.127,17300.0,22900.0,0.38,0.128,19300.0,28600.0,0.375,0.11599999999999999,25000.0,37300.0,0.46,0.126,27900.0,39000.0,0.429,0.131,31300.0,45400.0,0.455,0.11699999999999999,30500.0,42400.0,0.39299999999999996,0.13,31200.0,42900.0,0.42100000000000004,0.133,35400.0,54000.0,0.475,0.146
Race or ethnicity of respondent,Hispanic or Latino,14600.0,22300.0,n.a.,0.079,17200.0,23100.0,0.38799999999999996,0.075,21700.0,31400.0,0.44,0.057,23500.0,31600.0,0.449,0.07200000000000001,24700.0,38600.0,0.434,0.078,27300.0,39500.0,0.43,0.09,36000.0,48000.0,0.51,0.086,35100.0,50700.0,0.419,0.09699999999999999,32500.0,44000.0,0.413,0.096,38500.0,57300.0,0.423,0.102
Race or ethnicity of respondent,Other or Multiple Race,22600.0,33400.0,n.a.,0.045,27700.0,43200.0,0.62,0.046,35100.0,46600.0,0.505,0.039,33400.0,48200.0,0.507,0.044000000000000004,35000.0,54800.0,0.586,0.042,45200.0,66900.0,0.561,0.057999999999999996,50600.0,70000.0,0.5770000000000001,0.09,42200.0,73800.0,0.522,0.099,41200.0,70500.0,0.499,0.099,50600.0,86900.0,0.544,0.105
Current work status of head,Working for someone else,32100.0,41000.0,n.a.,0.57,34400.0,43800.0,0.632,0.5479999999999999,36900.0,48400.0,0.604,0.583,40500.0,53500.0,0.598,0.5920000000000001,47300.0,67400.0,0.616,0.609,49300.0,70100.0,0.5920000000000001,0.601,56600.0,83100.0,0.603,0.599,55900.0,84100.0,0.552,0.569,56800.0,86700.0,0.585,0.569,62900.0,105200.0,0.594,0.562
Current work status of head,Self-employed,37600.0,92500.0,n.a.,0.111,44900.0,76200.0,0.594,0.109,37900.0,80000.0,0.634,0.10300000000000001,52700.0,109300.0,0.611,0.113,63400.0,138400.0,0.7040000000000001,0.11699999999999999,66800.0,141600.0,0.687,0.11800000000000001,75700.0,191800.0,0.628,0.105,64500.0,149800.0,0.551,0.114,70800.0,213100.0,0.613,0.09699999999999999,70900.0,210800.0,0.622,0.106
Current work status of head,Retired,14500.0,23800.0,n.a.,0.252,15200.0,22900.0,0.48100000000000004,0.262,16800.0,28100.0,0.46,0.251,19300.0,33000.0,0.48700000000000004,0.244,21000.0,40000.0,0.505,0.23,24400.0,43200.0,0.44,0.237,24700.0,51100.0,0.466,0.25,29100.0,44400.0,0.473,0.249,29900.0,53300.0,0.442,0.27,36500.0,68300.0,0.48200000000000004,0.28
Current work status of head,Other not working,7300.0,14000.0,n.a.,0.066,11300.0,20900.0,0.414,0.081,11300.0,18000.0,0.308,0.064,11600.0,21700.0,0.33299999999999996,0.051,16700.0,36700.0,0.42700000000000005,0.045,20500.0,37400.0,0.449,0.044000000000000004,20400.0,35400.0,0.45299999999999996,0.046,23900.0,36300.0,0.37,0.068,25400.0,43400.0,0.28800000000000003,0.064,19700.0,38900.0,0.365,0.051
Current occupation of head,Managerial or professional,47200.0,74500.0,n.a.,0.21600000000000003,49200.0,73600.0,0.675,0.21899999999999997,53300.0,81700.0,0.695,0.198,60800.0,96600.0,0.684,0.242,71200.0,125200.0,0.7240000000000001,0.271,77200.0,128300.00000000001,0.677,0.28300000000000003,85400.0,156100.0,0.7020000000000001,0.275,81300.0,148700.0,0.629,0.27699999999999997,87700.0,161700.0,0.691,0.28600000000000003,91100.0,190400.0,0.6759999999999999,0.284
Current occupation of head,"Technical, sales, or services",25000.0,40200.0,n.a.,0.222,29300.0,37700.0,0.604,0.24,30700.0,42900.0,0.545,0.242,30700.0,46800.0,0.556,0.21,36000.0,53300.0,0.5820000000000001,0.237,37400.0,53100.0,0.5539999999999999,0.221,44200.0,67600.0,0.556,0.218,42000.0,59400.0,0.49,0.218,40600.0,64200.0,0.489,0.203,46800.0,75200.0,0.544,0.215
Current occupation of head,Other occupation,30300.0,35500.0,n.a.,0.243,29700.0,35900.0,0.598,0.198,34600.0,40200.0,0.601,0.24600000000000002,37500.0,42500.0,0.556,0.253,41100.0,49000.0,0.5660000000000001,0.218,45200.0,50600.0,0.573,0.21600000000000003,49400.0,57900.0,0.536,0.21100000000000002,50000.0,57300.0,0.51,0.188,50700.0,60600.0,0.54,0.177,54200.0,67300.0,0.5379999999999999,0.17
Current occupation of head,Retired or other not working,12500.0,21800.0,n.a.,0.319,13900.0,22400.0,0.465,0.34299999999999997,15900.0,26000.0,0.429,0.314,17700.0,31200.0,0.461,0.295,20700.0,39500.0,0.49200000000000005,0.27399999999999997,23800.0,42300.0,0.441,0.281,23800.0,48700.0,0.46399999999999997,0.29600000000000004,27400.0,42600.0,0.451,0.317,29000.0,51400.0,0.413,0.33399999999999996,33500.0,63800.0,0.46399999999999997,0.331
Region,Northeast,29200.0,46600.0,n.a.,0.20800000000000002,33200.0,46300.0,0.575,0.20199999999999999,30700.0,49200.0,0.526,0.198,35500.0,61000.0,0.535,0.193,41300.0,77700.0,0.581,0.19,50900.0,87500.0,0.595,0.188,51400.0,100400.0,0.535,0.183,53700.0,99200.0,0.508,0.183,58300.0,107200.0,0.51,0.18100000000000002,60800.0,128900.0,0.541,0.177
Region,Midwest,25000.0,42300.0,n.a.,0.244,28900.0,41200.0,0.613,0.244,31300.0,45500.0,0.5920000000000001,0.239,32900.0,49000.0,0.583,0.23600000000000002,43900.0,64700.0,0.63,0.23,45200.0,67500.0,0.599,0.22899999999999998,44200.0,74900.0,0.5820000000000001,0.22899999999999998,46500.0,70800.0,0.5720000000000001,0.22399999999999998,44200.0,75200.0,0.526,0.221,51600.0,96300.0,0.5720000000000001,0.218
Region,South,21900.0,34700.0,n.a.,0.344,23600.0,34000.0,0.542,0.34600000000000003,28400.0,41300.0,0.546,0.35100000000000003,31600.0,49400.0,0.55,0.35700000000000004,36000.0,61400.0,0.573,0.36200000000000004,37000.0,62000.0,0.525,0.363,42900.0,79300.0,0.569,0.36700000000000005,40600.0,71500.0,0.498,0.371,42600.0,77900.0,0.529,0.375,48600.0,94400.0,0.551,0.38
Region,West,30300.0,42500.0,n.a.,0.204,26400.0,42400.0,0.564,0.209,31700.0,44800.0,0.54,0.212,36200.0,57000.0,0.569,0.213,40700.0,74100.0,0.595,0.218,46200.0,74500.0,0.552,0.22,51900.0,88700.0,0.563,0.221,48800.0,80800.0,0.514,0.222,50700.0,98300.0,0.552,0.223,54300.0,102400.0,0.552,0.225
Urbanicity,Metropolitan statistical area (MSA),26900.0,43300.0,n.a.,0.81,28700.0,43000.0,0.58,0.815,31900.0,47300.0,0.5579999999999999,0.853,35500.0,56500.0,0.563,0.853,41100.0,72400.0,0.597,0.862,46200.0,76900.0,0.569,0.8290000000000001,50400.0,91300.0,0.57,0.8290000000000001,48800.0,84800.0,0.517,0.8270000000000001,48700.0,92300.0,0.532,0.87,55200.0,109700.0,0.557,0.875
Urbanicity,Non-MSA,20200.0,29400.0,n.a.,0.19,20300.0,27000.0,0.53,0.185,21400.0,29100.0,0.518,0.147,28000.0,33900.0,0.536,0.147,30200.0,41000.0,0.563,0.138,29900.0,41000.0,0.523,0.171,36100.0,50200.0,0.54,0.171,36600.0,48100.0,0.5329999999999999,0.17300000000000001,36600.0,52700.0,0.515,0.13,38700.0,54100.0,0.532,0.125
Housing status,Owner,33400.0,51100.0,n.a.,0.639,34800.0,49000.0,0.632,0.639,37900.0,55300.0,0.613,0.647,43700.0,66700.0,0.622,0.662,52100.0,85100.0,0.667,0.677,55200.0,87400.0,0.623,0.691,61700.0,105600.0,0.609,0.6859999999999999,59600.0,98200.0,0.565,0.6729999999999999,63400.0,112400.0,0.589,0.652,71200.0,134000.0,0.623,0.637
Housing status,Renter or other,13800.0,22000.0,n.a.,0.361,17100.0,24100.0,0.462,0.361,18400.0,25100.0,0.44,0.353,20300.0,26700.0,0.434,0.33799999999999997,24700.0,32200.000000000004,0.436,0.32299999999999995,24600.0,33700.0,0.423,0.309,27800.0,37500.0,0.467,0.314,26100.0,37900.0,0.42700000000000005,0.327,27800.0,40100.0,0.42,0.348,31600.0,47800.0,0.433,0.363
Percentile of net worth,Less than 25,10400.0,14600.0,n.a.,0.25,13000.0,17300.0,0.374,0.25,14500.0,18600.0,0.35700000000000004,0.25,15900.0,20300.0,0.363,0.25,19700.0,24000.0,0.345,0.25,20500.0,25100.0,0.34700000000000003,0.25,23400.0,29100.0,0.405,0.25,23700.0,32600.0,0.322,0.25,23700.0,31400.0,0.336,0.25,25300.0,34300.0,0.369,0.25
Percentile of net worth,25–49.9,22000.0,25200.0,n.a.,0.25,24600.0,27700.0,0.525,0.25,28700.0,31200.0,0.512,0.25,30400.0,33900.0,0.503,0.25,35000.0,39600.0,0.542,0.25,37000.0,42200.0,0.537,0.25,41100.0,46500.0,0.528,0.25,37900.0,45500.0,0.484,0.25,38600.0,46900.0,0.45799999999999996,0.25,42000.0,50900.0,0.483,0.25
Percentile of net worth,50–74.9,31600.0,36100.0,n.a.,0.25,32800.0,36400.0,0.635,0.25,35500.0,40800.0,0.596,0.25,40500.0,46800.0,0.618,0.25,51100.0,58900.0,0.682,0.25,52400.0,60700.0,0.621,0.25,56700.0,66600.0,0.591,0.25,54900.0,63200.0,0.568,0.25,55800.0,65800.0,0.599,0.25,64800.0,74900.0,0.638,0.25
Percentile of net worth,75–89.9,41700.0,50900.0,n.a.,0.15,43000.0,50900.0,0.7070000000000001,0.15,42700.0,52800.0,0.6859999999999999,0.15,56800.0,67500.0,0.7190000000000001,0.15,69600.0,78600.0,0.774,0.15,77000.0,87900.0,0.726,0.15,82300.0,92900.0,0.6890000000000001,0.15,74500.0,89000.0,0.669,0.15,87500.0,100000.0,0.6940000000000001,0.15,90800.0,113400.0,0.684,0.15
Percentile of net worth,90–100,78300.0,140000.0,n.a.,0.1,80800.0,120300.0,0.8109999999999999,0.1,80800.0,140400.0,0.826,0.1,88300.0,177900.0,0.8,0.1,126500.0,256200.0,0.841,0.1,143800.0,256000.0,0.76,0.1,157900.0,347700.0,0.804,0.1,163100.0,297800.0,0.7609999999999999,0.1,183400.0,361200.0,0.779,0.1,215900.0,456900.0,0.7879999999999999,0.1
