Characteristic,Sub-Characteristic,1989 - Education,1989 - Vehicle,1989 - Other,1992 - Education,1992 - Vehicle,1992 - Other,1995 - Education,1995 - Vehicle,1995 - Other,1998 - Education,1998 - Vehicle,1998 - Other,2001 - Education,2001 - Vehicle,2001 - Other,2004 - Education,2004 - Vehicle,2004 - Other,2007 - Education,2007 - Vehicle,2007 - Other,2010 - Education,2010 - Vehicle,2010 - Other,2013 - Education,2013 - Vehicle,2013 - Other,2016 - Education,2016 - Vehicle,2016 - Other
Age of head (years),55–64,0.039,0.71,0.251,0.10099999999999999,0.71,0.19,0.11800000000000001,0.765,0.11699999999999999,0.15,0.679,0.171,0.146,0.602,0.252,0.158,0.685,0.157,0.217,0.5379999999999999,0.245,0.299,0.429,0.272,0.301,0.401,0.298,0.385,0.509,0.107
Age of head (years),65–74,,0.616,0.345,,0.573,0.33799999999999997,,0.531,0.41200000000000003,,0.6609999999999999,0.308,,0.752,0.243,,0.72,0.27399999999999997,,0.732,0.19,0.133,0.637,0.23,0.154,0.631,0.215,0.177,0.644,0.179
Age of head (years),75 or more,,0.262,0.738,,0.3,0.7,,0.7909999999999999,,,0.965,,,0.435,,,0.195,,,0.88,,,0.38799999999999996,0.52,,0.644,0.195,,0.627,0.254
Education of head,No high school diploma,0.02,0.7120000000000001,0.268,0.040999999999999995,0.614,0.345,0.045,0.747,0.20800000000000002,0.053,0.74,0.207,0.045,0.71,0.244,0.081,0.7,0.21899999999999997,0.128,0.715,0.158,0.124,0.594,0.28300000000000003,0.146,0.618,0.23600000000000002,0.19699999999999998,0.65,0.154
Education of head,High school diploma,0.061,0.755,0.184,0.10300000000000001,0.653,0.244,0.094,0.74,0.16699999999999998,0.076,0.784,0.14,0.138,0.7509999999999999,0.11199999999999999,0.126,0.7070000000000001,0.16699999999999998,0.15,0.696,0.154,0.228,0.536,0.23600000000000002,0.32299999999999995,0.535,0.142,0.33299999999999996,0.495,0.172
Education of head,Some college,0.11800000000000001,0.603,0.27899999999999997,0.168,0.64,0.192,0.26,0.574,0.166,0.21,0.531,0.258,0.182,0.6920000000000001,0.126,0.251,0.647,0.102,0.278,0.524,0.19899999999999998,0.49200000000000005,0.382,0.125,0.424,0.35200000000000004,0.22399999999999998,0.478,0.423,0.099
Education of head,College degree,0.17800000000000002,0.41700000000000004,0.406,0.318,0.47,0.212,0.335,0.46399999999999997,0.201,0.38799999999999996,0.397,0.215,0.354,0.41600000000000004,0.23,0.35,0.42,0.231,0.503,0.379,0.11699999999999999,0.5589999999999999,0.315,0.126,0.62,0.31,0.07,0.607,0.297,0.09699999999999999
Race or ethnicity of respondent,White non-Hispanic,0.109,0.585,0.306,0.218,0.5529999999999999,0.23,0.205,0.614,0.18100000000000002,0.245,0.537,0.218,0.231,0.5820000000000001,0.188,0.259,0.563,0.17800000000000002,0.321,0.521,0.159,0.439,0.4,0.161,0.45899999999999996,0.382,0.158,0.45899999999999996,0.402,0.138
Race or ethnicity of respondent,Black or African-American non-hispanic,0.124,0.652,0.22399999999999998,0.215,0.606,0.17800000000000002,0.265,0.514,0.221,0.261,0.622,0.11699999999999999,0.28800000000000003,0.6459999999999999,0.066,0.342,0.429,0.22899999999999998,0.49,0.429,0.08199999999999999,0.589,0.303,0.10800000000000001,0.632,0.317,0.051,0.637,0.322,0.04
Race or ethnicity of respondent,Hispanic or Latino,0.11800000000000001,0.61,0.272,0.15,0.631,0.21899999999999997,0.187,0.6970000000000001,0.11599999999999999,0.17300000000000001,0.5670000000000001,0.259,0.242,0.675,0.083,0.198,0.7240000000000001,0.078,0.284,0.6559999999999999,0.061,0.271,0.618,0.111,0.377,0.525,0.098,0.516,0.42,0.064
Race or ethnicity of respondent,Other or Multiple Race,,0.628,0.26,0.121,0.589,0.29,0.363,0.465,0.172,0.209,0.631,0.16,0.262,0.415,0.322,0.16399999999999998,0.526,0.31,0.304,0.465,0.23,0.495,0.28300000000000003,0.222,0.5589999999999999,0.348,0.09300000000000001,0.552,0.337,0.111
Percentile of net worth,Less than 25,0.295,0.462,0.243,0.429,0.325,0.24600000000000002,0.40700000000000003,0.396,0.19699999999999998,0.532,0.361,0.107,0.43,0.418,0.152,0.452,0.33,0.218,0.479,0.325,0.196,0.654,0.163,0.183,0.6609999999999999,0.152,0.18600000000000003,0.71,0.16899999999999998,0.121
Percentile of net worth,25–49.9,0.08,0.7170000000000001,0.203,0.147,0.636,0.217,0.165,0.6829999999999999,0.152,0.18600000000000003,0.6629999999999999,0.151,0.171,0.725,0.10400000000000001,0.272,0.6779999999999999,0.05,0.304,0.608,0.087,0.41,0.47200000000000003,0.11800000000000001,0.415,0.49700000000000005,0.08900000000000001,0.444,0.45899999999999996,0.09699999999999999
Percentile of net worth,50–74.9,0.065,0.72,0.215,0.10800000000000001,0.7240000000000001,0.168,0.132,0.728,0.14,0.156,0.638,0.20600000000000002,0.18899999999999997,0.722,0.08900000000000001,0.215,0.6729999999999999,0.11199999999999999,0.301,0.605,0.094,0.34,0.564,0.096,0.359,0.541,0.1,0.385,0.53,0.086
Percentile of net worth,75–89.9,0.11199999999999999,0.516,0.373,0.106,0.6990000000000001,0.195,0.175,0.716,0.109,0.078,0.693,0.22899999999999998,0.237,0.6509999999999999,0.11199999999999999,0.18899999999999997,0.727,0.084,0.257,0.66,0.084,0.311,0.5870000000000001,0.102,0.395,0.57,0.036000000000000004,0.322,0.605,0.073
Percentile of net worth,90–100,0.018000000000000002,0.44,0.542,0.11,0.5379999999999999,0.35200000000000004,0.083,0.513,0.40299999999999997,0.063,0.455,0.48200000000000004,0.11599999999999999,0.344,0.54,0.038,0.434,0.528,0.16899999999999998,0.47600000000000003,0.355,0.113,0.6,0.287,0.20199999999999999,0.565,0.233,0.203,0.555,0.242
