SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families (%),Percentage of families that saved (%)
1,Internal-Nominal,1992,Region,Northeast,33200,46300,0.202,0.575
1,Internal-Nominal,1992,Region,South,23600,34000,0.346,0.542
1,Internal-Nominal,1992,Region,West,26400,42400,0.209,0.564
1,Internal-Nominal,1992,Urbanicity,Metropolitan statistical area (MSA),28700,43000,0.815,0.58
1,Internal-Nominal,1992,Urbanicity,Non-MSA,20300,27000,0.185,0.53
1,Internal-Nominal,1992,(blank),All families,26600,40000,1,0.571
1,Internal-Nominal,1995,Age of head (years),35-44,38300,48800,0.23,0.543
1,Internal-Nominal,1995,Age of head (years),45-54,40200,66100,0.179,0.58
1,Internal-Nominal,1995,Age of head (years),55-64,33800,53900,0.125,0.58
1,Internal-Nominal,1995,Age of head (years),65-74,19300,37400,0.12,0.5
1,Internal-Nominal,1995,Age of head (years),75 or more,16000,26500,0.098,0.517
1,Internal-Nominal,1995,Age of head (years),Less than 35,25600,31200,0.248,0.564
1,Internal-Nominal,1995,Current occupation of head,Managerial or professional,53300,81700,0.198,0.695
1,Internal-Nominal,1995,Current occupation of head,Other occupation,34600,40200,0.246,0.601
1,Internal-Nominal,1995,Current occupation of head,Retired or other not working,15900,26000,0.314,0.429
1,Internal-Nominal,1995,Current occupation of head,"Technical, sales, or services",30700,42900,0.242,0.545
1,Internal-Nominal,1995,Current work status of head,Other not working,11300,18000,0.064,0.308
1,Internal-Nominal,1995,Current work status of head,Retired,16800,28100,0.251,0.46
1,Internal-Nominal,1995,Current work status of head,Self-employed,37900,80000,0.103,0.634
1,Internal-Nominal,1995,Current work status of head,Working for someone else,36900,48400,0.583,0.604
1,Internal-Nominal,1995,Education of head,College degree,48300,77600,0.249,0.694
1,Internal-Nominal,1995,Education of head,High school diploma,26100,35000,0.317,0.506
1,Internal-Nominal,1995,Education of head,No high school diploma,14600,20900,0.185,0.428
1,Internal-Nominal,1995,Education of head,Some college,32400,41600,0.249,0.561
1,Internal-Nominal,1995,Family structure,Couple with child(ren),43300,60500,0.319,0.601
1,Internal-Nominal,1995,Family structure,"Couple, no child",38100,58400,0.266,0.656
1,Internal-Nominal,1995,Family structure,Single with child(ren),16600,21000,0.12,0.369
1,Internal-Nominal,1995,Family structure,"Single, no child, age 55 or more",13000,22200,0.138,0.444
1,Internal-Nominal,1995,Family structure,"Single, no child, age less than 55",22500,26600,0.158,0.511
1,Internal-Nominal,1995,Housing status,Owner,37900,55300,0.647,0.613
1,Internal-Nominal,1995,Housing status,Renter or other,18400,25100,0.353,0.44
1,Internal-Nominal,1995,Percentile of income,20-39.9,17600,17600,0.2,0.434
1,Internal-Nominal,1995,Percentile of income,40-59.9,30700,30100,0.2,0.572
1,Internal-Nominal,1995,Percentile of income,60-79.9,45600,46300,0.2,0.668
1,Internal-Nominal,1995,Percentile of income,80-89.9,68600,69600,0.1,0.699
1,Internal-Nominal,1995,Percentile of income,90-100,112600,175300,0.1,0.842
1,Internal-Nominal,1995,Percentile of income,Less than 20,6900,6600,0.2,0.316
1,Internal-Nominal,1995,Percentile of net worth,25-49.9,28700,31200,0.25,0.512
1,Internal-Nominal,1995,Percentile of net worth,50-74.9,35500,40800,0.25,0.596
1,Internal-Nominal,1995,Percentile of net worth,75-89.9,42700,52800,0.15,0.686
1,Internal-Nominal,1995,Percentile of net worth,90-100,80800,140400,0.1,0.826
1,Internal-Nominal,1995,Percentile of net worth,Less than 25,14500,18600,0.25,0.357
1,Internal-Nominal,1995,Race or ethnicity of respondent,Black or African-American non-hispanic,17300,22900,0.128,0.38
1,Internal-Nominal,1995,Race or ethnicity of respondent,Hispanic or Latino,21700,31400,0.057,0.44
1,Internal-Nominal,1995,Race or ethnicity of respondent,Other or Multiple Race,35100,46600,0.039,0.505
1,Internal-Nominal,1995,Race or ethnicity of respondent,White non-Hispanic,33100,49100,0.776,0.591
1,Internal-Nominal,1995,Region,Midwest,31300,45500,0.239,0.592
1,Internal-Nominal,1995,Region,Northeast,30700,49200,0.198,0.526
1,Internal-Nominal,1995,Region,South,28400,41300,0.351,0.546
1,Internal-Nominal,1995,Region,West,31700,44800,0.212,0.54
1,Internal-Nominal,1995,Urbanicity,Metropolitan statistical area (MSA),31900,47300,0.853,0.558
1,Internal-Nominal,1995,Urbanicity,Non-MSA,21400,29100,0.147,0.518
1,Internal-Nominal,1995,(blank),All families,30700,44600,1,0.552
1,Internal-Nominal,1998,Age of head (years),35-44,42100,60000,0.233,0.573
1,Internal-Nominal,1998,Age of head (years),45-54,50700,69800,0.192,0.578
1,Internal-Nominal,1998,Age of head (years),55-64,38500,71700,0.128,0.611
1,Internal-Nominal,1998,Age of head (years),65-74,24300,46700,0.112,0.563
1,Internal-Nominal,1998,Age of head (years),75 or more,16700,29200,0.102,0.486
1,Internal-Nominal,1998,Age of head (years),Less than 35,27400,36100,0.233,0.53
1,Internal-Nominal,1998,Current occupation of head,Managerial or professional,60800,96600,0.242,0.684
1,Internal-Nominal,1998,Current occupation of head,Other occupation,37500,42500,0.253,0.556
1,Internal-Nominal,1998,Current occupation of head,Retired or other not working,17700,31200,0.295,0.461
1,Internal-Nominal,1998,Current occupation of head,"Technical, sales, or services",30700,46800,0.21,0.556
1,Internal-Nominal,1998,Current work status of head,Other not working,11600,21700,0.051,0.333
1,Internal-Nominal,1998,Current work status of head,Retired,19300,33000,0.244,0.487
1,Internal-Nominal,1998,Current work status of head,Self-employed,52700,109300,0.113,0.611
1,Internal-Nominal,1998,Current work status of head,Working for someone else,40500,53500,0.592,0.598
1,Internal-Nominal,1998,Education of head,College degree,59800,94700,0.267,0.671
1,Internal-Nominal,1998,Education of head,High school diploma,29200,37000,0.319,0.537
1,Internal-Nominal,1998,Education of head,No high school diploma,15500,21700,0.165,0.395
1,Internal-Nominal,1998,Education of head,Some college,35800,50200,0.25,0.575
1,Internal-Nominal,1998,Family structure,Couple with child(ren),52100,72200,0.327,0.591
1,Internal-Nominal,1998,Family structure,"Couple, no child",42600,69800,0.258,0.659
1,Internal-Nominal,1998,Family structure,Single with child(ren),18200,25300,0.113,0.392
1,Internal-Nominal,1998,Family structure,"Single, no child, age 55 or more",16700,26100,0.137,0.479
1,Internal-Nominal,1998,Family structure,"Single, no child, age less than 55",24300,30900,0.164,0.52
1,Internal-Nominal,1998,Housing status,Owner,43700,66700,0.662,0.622
1,Internal-Nominal,1998,Housing status,Renter or other,20300,26700,0.338,0.434
1,Internal-Nominal,1998,Percentile of income,20-39.9,20300,20200,0.2,0.455
1,Internal-Nominal,1998,Percentile of income,40-59.9,33400,34000,0.2,0.561
1,Internal-Nominal,1998,Percentile of income,60-79.9,53300,54300,0.2,0.679
1,Internal-Nominal,1998,Percentile of income,80-89.9,78900,79500,0.1,0.737
1,Internal-Nominal,1998,Percentile of income,90-100,130600,219400,0.1,0.82
1,Internal-Nominal,1998,Percentile of income,Less than 20,8300,7900,0.2,0.321
1,Internal-Nominal,1998,Percentile of net worth,25-49.9,30400,33900,0.25,0.503
1,Internal-Nominal,1998,Percentile of net worth,50-74.9,40500,46800,0.25,0.618
1,Internal-Nominal,1998,Percentile of net worth,75-89.9,56800,67500,0.15,0.719
1,Internal-Nominal,1998,Percentile of net worth,90-100,88300,177900,0.1,0.8
1,Internal-Nominal,1998,Percentile of net worth,Less than 25,15900,20300,0.25,0.363
1,Internal-Nominal,1998,Race or ethnicity of respondent,Black or African-American non-hispanic,19300,28600,0.116,0.375
1,Internal-Nominal,1998,Race or ethnicity of respondent,Hispanic or Latino,23500,31600,0.072,0.449
1,Internal-Nominal,1998,Race or ethnicity of respondent,Other or Multiple Race,33400,48200,0.044,0.507
1,Internal-Nominal,1998,Race or ethnicity of respondent,White non-Hispanic,38100,59200,0.768,0.6
1,Internal-Nominal,1998,Region,Midwest,32900,49000,0.236,0.583
1,Internal-Nominal,1998,Region,Northeast,35500,61000,0.193,0.535
1,Internal-Nominal,1998,Region,South,31600,49400,0.357,0.55
1,Internal-Nominal,1998,Region,West,36200,57000,0.213,0.569
1,Internal-Nominal,1998,Urbanicity,Metropolitan statistical area (MSA),35500,56500,0.853,0.563
1,Internal-Nominal,1998,Urbanicity,Non-MSA,28000,33900,0.147,0.536
1,Internal-Nominal,1998,(blank),All families,33400,53200,1,0.559
1,Internal-Nominal,2001,Age of head (years),35-44,51400,77100,0.223,0.623
1,Internal-Nominal,2001,Age of head (years),45-54,54500,93200,0.206,0.617
1,Internal-Nominal,2001,Age of head (years),55-64,45300,87000,0.132,0.62
1,Internal-Nominal,2001,Age of head (years),65-74,27800,58200,0.107,0.618
1,Internal-Nominal,2001,Age of head (years),75 or more,22400,36700,0.104,0.555
1,Internal-Nominal,2001,Age of head (years),Less than 35,33400,44200,0.227,0.529
1,Internal-Nominal,2001,Current occupation of head,Managerial or professional,71200,125200,0.271,0.724
1,Internal-Nominal,2001,Current occupation of head,Other occupation,41100,49000,0.218,0.566
1,Internal-Nominal,2001,Current occupation of head,Retired or other not working,20700,39500,0.274,0.492
1,Internal-Nominal,2001,Current occupation of head,"Technical, sales, or services",36000,53300,0.237,0.582
1,Internal-Nominal,2001,Current work status of head,Other not working,16700,36700,0.045,0.427
1,Internal-Nominal,2001,Current work status of head,Retired,21000,40000,0.23,0.505
1,Internal-Nominal,2001,Current work status of head,Self-employed,63400,138400,0.117,0.704
1,Internal-Nominal,2001,Current work status of head,Working for someone else,47300,67400,0.609,0.616
1,Internal-Nominal,2001,Education of head,College degree,72400,128100,0.284,0.713
1,Internal-Nominal,2001,Education of head,High school diploma,33900,44800,0.317,0.567
1,Internal-Nominal,2001,Education of head,No high school diploma,17000,25100,0.16,0.387
1,Internal-Nominal,2001,Education of head,Some college,41300,56300,0.239,0.621
1,Internal-Nominal,2001,Family structure,Couple with child(ren),62500,93800,0.311,0.619
1,Internal-Nominal,2001,Family structure,"Couple, no child",51500,85900,0.292,0.681
1,Internal-Nominal,2001,Family structure,Single with child(ren),22600,29400,0.114,0.452
1,Internal-Nominal,2001,Family structure,"Single, no child, age 55 or more",17000,32600,0.132,0.495
1,Internal-Nominal,2001,Family structure,"Single, no child, age less than 55",28800,40300,0.151,0.558
1,Internal-Nominal,2001,Housing status,Owner,52100,85100,0.677,0.667
1,Internal-Nominal,2001,Housing status,Renter or other,24700,32200,0.323,0.436
1,Internal-Nominal,2001,Percentile of income,20-39.9,24400,24100,0.2,0.534
1,Internal-Nominal,2001,Percentile of income,40-59.9,39900,40300,0.2,0.613
1,Internal-Nominal,2001,Percentile of income,60-79.9,64800,65200,0.2,0.72
1,Internal-Nominal,2001,Percentile of income,80-89.9,98700,98100,0.1,0.749
1,Internal-Nominal,2001,Percentile of income,90-100,169600,302900,0.1,0.843
1,Internal-Nominal,2001,Percentile of income,Less than 20,10300,10000,0.2,0.3
1,Internal-Nominal,2001,Percentile of net worth,25-49.9,35000,39600,0.25,0.542
1,Internal-Nominal,2001,Percentile of net worth,50-74.9,51100,58900,0.25,0.682
1,Internal-Nominal,2001,Percentile of net worth,75-89.9,69600,78600,0.15,0.774
1,Internal-Nominal,2001,Percentile of net worth,90-100,126500,256200,0.1,0.841
1,Internal-Nominal,2001,Percentile of net worth,Less than 25,19700,24000,0.25,0.345
1,Internal-Nominal,2001,Race or ethnicity of respondent,Black or African-American non-hispanic,25000,37300,0.126,0.46
1,Internal-Nominal,2001,Race or ethnicity of respondent,Hispanic or Latino,24700,38600,0.078,0.434
1,Internal-Nominal,2001,Race or ethnicity of respondent,Other or Multiple Race,35000,54800,0.042,0.586
1,Internal-Nominal,2001,Race or ethnicity of respondent,White non-Hispanic,45300,77000,0.754,0.631
1,Internal-Nominal,2001,Region,Midwest,43900,64700,0.23,0.63
1,Internal-Nominal,2001,Region,Northeast,41300,77700,0.19,0.581
1,Internal-Nominal,2001,Region,South,36000,61400,0.362,0.573
1,Internal-Nominal,2001,Region,West,40700,74100,0.218,0.595
1,Internal-Nominal,2001,Urbanicity,Metropolitan statistical area (MSA),41100,72400,0.862,0.597
1,Internal-Nominal,2001,Urbanicity,Non-MSA,30200,41000,0.138,0.563
1,Internal-Nominal,2001,(blank),All families,39900,68000,1,0.592
1,Internal-Nominal,2004,Age of head (years),35-44,50000,73900,0.206,0.58
1,Internal-Nominal,2004,Age of head (years),45-54,61100,94400,0.208,0.585
1,Internal-Nominal,2004,Age of head (years),55-64,54400,100400,0.152,0.585
1,Internal-Nominal,2004,Age of head (years),65-74,33300,59700,0.105,0.571
1,Internal-Nominal,2004,Age of head (years),75 or more,23700,40900,0.107,0.457
1,Internal-Nominal,2004,Age of head (years),Less than 35,32900,45100,0.222,0.55
1,Internal-Nominal,2004,Current occupation of head,Managerial or professional,77200,128300,0.283,0.677
1,Internal-Nominal,2004,Current occupation of head,Other occupation,45200,50600,0.216,0.573
1,Internal-Nominal,2004,Current occupation of head,Retired or other not working,23800,42300,0.281,0.441
1,Internal-Nominal,2004,Current occupation of head,"Technical, sales, or services",37400,53100,0.221,0.554
1,Internal-Nominal,2004,Current work status of head,Other not working,20500,37400,0.044,0.449
1,Internal-Nominal,2004,Current work status of head,Retired,24400,43200,0.237,0.44
1,Internal-Nominal,2004,Current work status of head,Self-employed,66800,141600,0.118,0.687
1,Internal-Nominal,2004,Current work status of head,Working for someone else,49300,70100,0.601,0.592
1,Internal-Nominal,2004,Education of head,College degree,79100,128400,0.305,0.704
1,Internal-Nominal,2004,Education of head,High school diploma,35700,44800,0.306,0.54
1,Internal-Nominal,2004,Education of head,No high school diploma,19400,25900,0.144,0.359
1,Internal-Nominal,2004,Education of head,Some college,44200,57800,0.244,0.527
1,Internal-Nominal,2004,Family structure,Couple with child(ren),65700,99000,0.317,0.617
1,Internal-Nominal,2004,Family structure,"Couple, no child",58600,93000,0.263,0.644
1,Internal-Nominal,2004,Family structure,Single with child(ren),25700,32800,0.121,0.398
1,Internal-Nominal,2004,Family structure,"Single, no child, age 55 or more",21300,34100,0.146,0.459
1,Internal-Nominal,2004,Family structure,"Single, no child, age less than 55",29000,39300,0.153,0.528
1,Internal-Nominal,2004,Housing status,Owner,55200,87400,0.691,0.623
1,Internal-Nominal,2004,Housing status,Renter or other,24600,33700,0.309,0.423
1,Internal-Nominal,2004,Percentile of income,20-39.9,25700,26100,0.2,0.433
1,Internal-Nominal,2004,Percentile of income,40-59.9,43200,43400,0.2,0.545
1,Internal-Nominal,2004,Percentile of income,60-79.9,68200,69200,0.2,0.693
1,Internal-Nominal,2004,Percentile of income,80-89.9,104800,106500,0.1,0.778
1,Internal-Nominal,2004,Percentile of income,90-100,184900,302200,0.1,0.806
1,Internal-Nominal,2004,Percentile of income,Less than 20,11100,10800,0.2,0.34
1,Internal-Nominal,2004,Percentile of net worth,25-49.9,37000,42200,0.25,0.537
1,Internal-Nominal,2004,Percentile of net worth,50-74.9,52400,60700,0.25,0.621
1,Internal-Nominal,2004,Percentile of net worth,75-89.9,77000,87900,0.15,0.726
1,Internal-Nominal,2004,Percentile of net worth,90-100,143800,256000,0.1,0.76
1,Internal-Nominal,2004,Percentile of net worth,Less than 25,20500,25100,0.25,0.347
1,Internal-Nominal,2004,Race or ethnicity of respondent,Black or African-American non-hispanic,27900,39000,0.131,0.429
1,Internal-Nominal,2004,Race or ethnicity of respondent,Hispanic or Latino,27300,39500,0.09,0.43
1,Internal-Nominal,2004,Race or ethnicity of respondent,Other or Multiple Race,45200,66900,0.058,0.561
1,Internal-Nominal,2004,Race or ethnicity of respondent,White non-Hispanic,49400,80700,0.722,0.601
1,Internal-Nominal,2004,Region,Midwest,45200,67500,0.229,0.599
1,Internal-Nominal,2004,Region,Northeast,50900,87500,0.188,0.595
1,Internal-Nominal,2004,Region,South,37000,62000,0.363,0.525
1,Internal-Nominal,2004,Region,West,46200,74500,0.22,0.552
1,Internal-Nominal,2004,Urbanicity,Metropolitan statistical area (MSA),46200,76900,0.829,0.569
1,Internal-Nominal,2004,Urbanicity,Non-MSA,29900,41000,0.171,0.523
1,Internal-Nominal,2004,(blank),All families,43200,70800,1,0.561
1,Internal-Nominal,2007,Age of head (years),35-44,56600,83700,0.196,0.564
1,Internal-Nominal,2007,Age of head (years),45-54,64200,112400,0.208,0.558
1,Internal-Nominal,2007,Age of head (years),55-64,54600,111200,0.168,0.584
1,Internal-Nominal,2007,Age of head (years),65-74,39000,92400,0.105,0.567
1,Internal-Nominal,2007,Age of head (years),75 or more,22800,45700,0.106,0.494
1,Internal-Nominal,2007,Age of head (years),Less than 35,37400,51700,0.216,0.589
1,Internal-Nominal,2007,Current occupation of head,Managerial or professional,85400,156100,0.275,0.702
1,Internal-Nominal,2007,Current occupation of head,Other occupation,49400,57900,0.211,0.536
1,Internal-Nominal,2007,Current occupation of head,Retired or other not working,23800,48700,0.296,0.464
1,Internal-Nominal,2007,Current occupation of head,"Technical, sales, or services",44200,67600,0.218,0.556
1,Internal-Nominal,2007,Current work status of head,Other not working,20400,35400,0.046,0.453
1,Internal-Nominal,2007,Current work status of head,Retired,24700,51100,0.25,0.466
1,Internal-Nominal,2007,Current work status of head,Self-employed,75700,191800,0.105,0.628
1,Internal-Nominal,2007,Current work status of head,Working for someone else,56600,83100,0.599,0.603
1,Internal-Nominal,2007,Education of head,College degree,86300,160000,0.291,0.7
1,Internal-Nominal,2007,Education of head,High school diploma,36700,51100,0.329,0.511
1,Internal-Nominal,2007,Education of head,No high school diploma,22200,31300,0.135,0.416
1,Internal-Nominal,2007,Education of head,Some college,47300,67900,0.245,0.557
1,Internal-Nominal,2007,Family structure,Couple with child(ren),71200,113000,0.318,0.601
1,Internal-Nominal,2007,Family structure,"Couple, no child",61700,115000,0.271,0.64
1,Internal-Nominal,2007,Family structure,Single with child(ren),28800,42100,0.122,0.416
1,Internal-Nominal,2007,Family structure,"Single, no child, age 55 or more",24600,36600,0.149,0.485
1,Internal-Nominal,2007,Family structure,"Single, no child, age less than 55",33900,47200,0.14,0.549
1,Internal-Nominal,2007,Housing status,Owner,61700,105600,0.686,0.609
1,Internal-Nominal,2007,Housing status,Renter or other,27800,37500,0.314,0.467
1,Internal-Nominal,2007,Percentile of income,20-39.9,28700,28300,0.2,0.45
1,Internal-Nominal,2007,Percentile of income,40-59.9,47300,47300,0.2,0.578
1,Internal-Nominal,2007,Percentile of income,60-79.9,75100,76600,0.2,0.668
1,Internal-Nominal,2007,Percentile of income,80-89.9,114000,116000,0.1,0.729
1,Internal-Nominal,2007,Percentile of income,90-100,206900,397600,0.1,0.848
1,Internal-Nominal,2007,Percentile of income,Less than 20,12300,12300,0.2,0.337
1,Internal-Nominal,2007,Percentile of net worth,25-49.9,41100,46500,0.25,0.528
1,Internal-Nominal,2007,Percentile of net worth,50-74.9,56700,66600,0.25,0.591
1,Internal-Nominal,2007,Percentile of net worth,75-89.9,82300,92900,0.15,0.689
1,Internal-Nominal,2007,Percentile of net worth,90-100,157900,347700,0.1,0.804
1,Internal-Nominal,2007,Percentile of net worth,Less than 25,23400,29100,0.25,0.405
1,Internal-Nominal,2007,Race or ethnicity of respondent,Black or African-American non-hispanic,31300,45400,0.117,0.455
1,Internal-Nominal,2007,Race or ethnicity of respondent,Hispanic or Latino,36000,48000,0.086,0.51
1,Internal-Nominal,2007,Race or ethnicity of respondent,Other or Multiple Race,50600,70000,0.09,0.577
1,Internal-Nominal,2007,Race or ethnicity of respondent,White non-Hispanic,51800,97000,0.707,0.588
1,Internal-Nominal,2007,Region,Midwest,44200,74900,0.229,0.582
1,Internal-Nominal,2007,Region,Northeast,51400,100400,0.183,0.535
1,Internal-Nominal,2007,Region,South,42900,79300,0.367,0.569
1,Internal-Nominal,2007,Region,West,51900,88700,0.221,0.563
1,Internal-Nominal,2007,Urbanicity,Metropolitan statistical area (MSA),50400,91300,0.829,0.57
1,Internal-Nominal,2007,Urbanicity,Non-MSA,36100,50200,0.171,0.54
1,Internal-Nominal,2007,(blank),All families,47300,84300,1,0.564
1,Internal-Nominal,2010,Age of head (years),35-44,53900,81000,0.182,0.476
1,Internal-Nominal,2010,Age of head (years),45-54,61000,102200,0.211,0.518
1,Internal-Nominal,2010,Age of head (years),55-64,55100,105800,0.175,0.514
1,Internal-Nominal,2010,Age of head (years),65-74,42700,75700,0.115,0.536
1,Internal-Nominal,2010,Age of head (years),75 or more,29100,46100,0.107,0.541
1,Internal-Nominal,2010,Age of head (years),Less than 35,35100,47700,0.21,0.546
1,Internal-Nominal,2010,Current occupation of head,Managerial or professional,81300,148700,0.277,0.629
