Characteristic,Sub-Characteristic,1989 - Education,1989 - Vehicle,1989 - Other,1992 - Education,1992 - Vehicle,1992 - Other,1995 - Education,1995 - Vehicle,1995 - Other,1998 - Education,1998 - Vehicle,1998 - Other,2001 - Education,2001 - Vehicle,2001 - Other,2004 - Education,2004 - Vehicle,2004 - Other,2007 - Education,2007 - Vehicle,2007 - Other,2010 - Education,2010 - Vehicle,2010 - Other,2013 - Education,2013 - Vehicle,2013 - Other,2016 - Education,2016 - Vehicle,2016 - Other
Age of head (years),55–64,0.0401,0.702615,0.257331,0.1012,0.709575,0.189177,0.122,0.761558,0.1164,0.1508,0.6821630000000001,0.16699999999999998,0.1351,0.556905,0.308,0.156,0.6757930000000001,0.16829999999999998,0.2086,0.53042,0.261,0.30260000000000004,0.426997,0.270409,0.30510000000000004,0.40767000000000003,0.287242,0.38439999999999996,0.5090520000000001,0.106587
Age of head (years),65–74,,0.617673,0.34171999999999997,,0.565586,0.347027,,0.531837,0.4111,,0.651882,0.31739999999999996,,0.725758,0.2698,,0.720702,0.2736,,0.7322069999999999,0.19010000000000002,0.1253,0.633589,0.241066,0.15460000000000002,0.634721,0.210709,0.17309999999999998,0.631807,0.195061
Age of head (years),75 or more,,0.25879,0.7412099999999999,,0.300956,0.698977,,0.7934739999999999,,,0.964752,,,0.726082,,,0.20396699999999998,,,0.8800279999999999,,,0.394877,0.5122019999999999,,0.646723,0.196174,,0.6272449999999999,0.25608000000000003
Education of head,No high school diploma,0.021,0.711636,0.267413,0.0412,0.613986,0.344833,0.044800000000000006,0.746576,0.2086,0.053099999999999994,0.739656,0.2073,0.0453,0.71038,0.2443,0.081,0.700116,0.2189,0.1273,0.7119639999999999,0.1607,0.12359999999999999,0.5932200000000001,0.283214,0.1421,0.617868,0.239986,0.1938,0.652156,0.154033
Education of head,High school diploma,0.063,0.75125,0.185777,0.1032,0.652949,0.243833,0.09390000000000001,0.739177,0.16690000000000002,0.075,0.773682,0.15130000000000002,0.1352,0.7442749999999999,0.12050000000000001,0.1267,0.7102689999999999,0.163,0.1494,0.692938,0.1577,0.2253,0.537771,0.236922,0.3225,0.535643,0.141816,0.3319,0.495959,0.17215599999999998
Education of head,Some college,0.1192,0.599156,0.281611,0.1675,0.6403260000000001,0.192215,0.2596,0.573716,0.1666,0.21,0.529901,0.2601,0.17579999999999998,0.67086,0.1533,0.2507,0.6468600000000001,0.1025,0.27899999999999997,0.522778,0.19829999999999998,0.4925,0.381817,0.125718,0.42369999999999997,0.35133899999999996,0.225,0.4777,0.422742,0.099594
Education of head,College degree,0.18109999999999998,0.420655,0.398287,0.317,0.469575,0.213383,0.3371,0.46577199999999996,0.1971,0.37560000000000004,0.388572,0.23579999999999998,0.3565,0.423097,0.22039999999999998,0.3513,0.420591,0.2281,0.49369999999999997,0.37303400000000003,0.1333,0.5640999999999999,0.309828,0.126046,0.6196,0.30863,0.07174699999999999,0.5686,0.278636,0.152757
Race or ethnicity of respondent,White non-Hispanic,0.1107,0.585271,0.304022,0.2173,0.552129,0.230527,0.2054,0.614607,0.18,0.2396,0.528513,0.23190000000000002,0.22769999999999999,0.580878,0.19140000000000001,0.25920000000000004,0.564627,0.17620000000000002,0.3181,0.515518,0.1664,0.4385,0.399673,0.161827,0.4594,0.381325,0.159308,0.4363,0.382662,0.181028
Race or ethnicity of respondent,Black or African-American non-hispanic,0.1267,0.6514570000000001,0.221885,0.21539999999999998,0.606254,0.178309,0.264,0.515488,0.2205,0.2609,0.62176,0.1173,0.2863,0.646857,0.0668,0.3453,0.42768999999999996,0.22699999999999998,0.4877,0.42647199999999996,0.0858,0.5891,0.302517,0.108361,0.6293,0.317167,0.053502999999999995,0.6382,0.321708,0.040081
Race or ethnicity of respondent,Hispanic or Latino,0.1174,0.608639,0.27396899999999996,0.1506,0.630049,0.219363,0.18710000000000002,0.69667,0.11630000000000001,0.17329999999999998,0.5674199999999999,0.2593,0.2413,0.6727960000000001,0.0859,0.1971,0.724293,0.0786,0.2836,0.655334,0.061,0.2792,0.606582,0.114245,0.3762,0.52441,0.099345,0.5132,0.422226,0.064575
Race or ethnicity of respondent,Other or Multiple Race,,0.619841,0.25905,0.1215,0.5880190000000001,0.290488,0.3628,0.464833,0.1723,0.20850000000000002,0.6319899999999999,0.1595,0.26289999999999997,0.406556,0.33049999999999996,0.16010000000000002,0.535548,0.3044,0.294,0.461205,0.24480000000000002,0.5019,0.281099,0.21700399999999997,0.56,0.34701,0.09298400000000001,0.5478000000000001,0.33885,0.113321
Percentile of net worth,Less than 25,0.3071,0.44710900000000003,0.24583300000000002,0.42219999999999996,0.32071500000000003,0.257119,0.4068,0.39618200000000003,0.19699999999999998,0.5299,0.360373,0.10980000000000001,0.4311,0.41808,0.1508,0.4557,0.32878100000000005,0.2155,0.4802,0.323128,0.1966,0.6579999999999999,0.16168700000000003,0.180286,0.6666,0.152831,0.18053,0.7086,0.169711,0.12169600000000001
Percentile of net worth,25–49.9,0.0783,0.71642,0.20528,0.1487,0.648484,0.202831,0.1659,0.6818609999999999,0.1523,0.1852,0.657595,0.1572,0.1696,0.723849,0.1066,0.2668,0.682694,0.050499999999999996,0.30260000000000004,0.6075160000000001,0.0898,0.4079,0.47330500000000003,0.11882799999999999,0.4114,0.498303,0.090283,0.4439,0.45821599999999996,0.09787900000000001
Percentile of net worth,50–74.9,0.0663,0.717486,0.216251,0.10779999999999999,0.724221,0.167989,0.1305,0.728712,0.1408,0.1536,0.639714,0.20670000000000002,0.18280000000000002,0.7217579999999999,0.09539999999999998,0.2186,0.6689430000000001,0.1124,0.2973,0.6054200000000001,0.0973,0.3378,0.562188,0.099994,0.3579,0.540895,0.101214,0.3837,0.530449,0.085885
Percentile of net worth,75–89.9,0.1101,0.5153070000000001,0.374572,0.10779999999999999,0.6955450000000001,0.196632,0.1773,0.714886,0.10779999999999999,0.0782,0.691836,0.2299,0.2365,0.6500109999999999,0.11349999999999999,0.1883,0.7261289999999999,0.08560000000000001,0.25370000000000004,0.6512680000000001,0.0951,0.3079,0.587465,0.104658,0.3946,0.569186,0.036212,0.3221,0.6021650000000001,0.075723
Percentile of net worth,90–100,0.0187,0.45362699999999995,0.527654,0.10890000000000001,0.533902,0.357245,0.0849,0.52052,0.3945,0.0567,0.42420900000000006,0.5191,0.11359999999999999,0.339602,0.5468,0.0391,0.439338,0.5215,0.1618,0.45258299999999996,0.3856,0.1155,0.590897,0.29361,0.1937,0.537768,0.268535,0.1451,0.395667,0.459261
