SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,Median,Mean
4,Internal-Real,1992,Education of head,No high school diploma,31300.0,117600.0
4,Internal-Real,1992,Education of head,High school diploma,64500.0,187400.0
4,Internal-Real,1992,Education of head,Some college,95900.0,281500.0
4,Internal-Real,1992,Education of head,College degree,183900.0,620100.0
4,Internal-Real,1992,Race or ethnicity of respondent,White non-Hispanic,116900.0,373000.0
4,Internal-Real,1992,Race or ethnicity of respondent,Black or African-American non-hispanic,16600.0,80700.0
4,Internal-Real,1992,Race or ethnicity of respondent,Hispanic or Latino,11400.0,90700.0
4,Internal-Real,1992,Race or ethnicity of respondent,Other or Multiple Race,62300.0,331900.0
4,Internal-Real,1992,Current work status of head,Working for someone else,66200.0,205300.0
4,Internal-Real,1992,Current work status of head,Self-employed,242000.0,1006100.0
4,Internal-Real,1992,Current work status of head,Retired,118200.0,318200.0
4,Internal-Real,1992,Current work status of head,Other not working,5500.0,89100.0
4,Internal-Real,1992,Current occupation of head,Managerial or professional,170000.0,630400.0
4,Internal-Real,1992,Current occupation of head,"Technical, sales, or services",61200.0,229700.0
4,Internal-Real,1992,Current occupation of head,Other occupation,54900.0,146700.0
4,Internal-Real,1992,Current occupation of head,Retired or other not working,83900.0,263900.0
4,Internal-Real,1992,Region,Northeast,107500.0,353600.0
4,Internal-Real,1992,Region,Midwest,95500.0,290500.0
4,Internal-Real,1992,Region,South,57900.0,236300.0
4,Internal-Real,1992,Region,West,119900.0,426800.0
4,Internal-Real,1992,Urbanicity,Metropolitan statistical area (MSA),88800.0,350100.0
4,Internal-Real,1992,Urbanicity,Non-MSA,65099.99999999999,149100.0
4,Internal-Real,1992,Housing status,Owner,165800.0,453000.0
4,Internal-Real,1992,Housing status,Renter or other,5400.0,64900.00000000001
4,Internal-Real,1992,Percentile of net worth,Less than 25,800.0,-1000.0
4,Internal-Real,1992,Percentile of net worth,25–49.9,39600.0,42600.0
4,Internal-Real,1992,Percentile of net worth,50–74.9,146900.0,151900.0
4,Internal-Real,1992,Percentile of net worth,75–89.9,342200.0,366500.0
4,Internal-Real,1992,Percentile of net worth,90–100,1115000.0,2095300.0000000002
4,Internal-Real,1995,,All families,90600.0,332100.0
4,Internal-Real,1995,Percentile of income,Less than 20,9400.0,69600.0
4,Internal-Real,1995,Percentile of income,20–39.9,52500.0,123900.0
4,Internal-Real,1995,Percentile of income,40–59.9,72700.0,160200.0
4,Internal-Real,1995,Percentile of income,60–79.9,119100.0,252600.0
4,Internal-Real,1995,Percentile of income,80–89.9,200600.0,403200.0
4,Internal-Real,1995,Percentile of income,90–100,556800.0,1704700.0
4,Internal-Real,1995,Age of head (years),Less than 35,18800.0,67700.0
4,Internal-Real,1995,Age of head (years),35–44,81900.0,225100.0
4,Internal-Real,1995,Age of head (years),45–54,148600.0,464600.0
4,Internal-Real,1995,Age of head (years),55–64,180800.0,600600.0
4,Internal-Real,1995,Age of head (years),65–74,173800.0,546100.0
4,Internal-Real,1995,Age of head (years),75 or more,145600.0,404400.0
4,Internal-Real,1995,Family structure,Single with child(ren),18800.0,113800.0
4,Internal-Real,1995,Family structure,"Single, no child, age less than 55",27500.0,113700.0
4,Internal-Real,1995,Family structure,"Single, no child, age 55 or more",110800.0,310000.0
4,Internal-Real,1995,Family structure,Couple with child(ren),103100.0,336900.0
4,Internal-Real,1995,Family structure,"Couple, no child",180600.0,565800.0
4,Internal-Real,1995,Education of head,No high school diploma,35500.0,131900.0
4,Internal-Real,1995,Education of head,High school diploma,81300.0,208200.0
4,Internal-Real,1995,Education of head,Some college,78300.0,285900.0
4,Internal-Real,1995,Education of head,College degree,189600.0,685300.0
4,Internal-Real,1995,Race or ethnicity of respondent,White non-Hispanic,120000.0,393100.0
4,Internal-Real,1995,Race or ethnicity of respondent,Black or African-American non-hispanic,17100.0,69100.0
4,Internal-Real,1995,Race or ethnicity of respondent,Hispanic or Latino,19000.0,96300.0
4,Internal-Real,1995,Race or ethnicity of respondent,Other or Multiple Race,48900.0,324200.0
4,Internal-Real,1995,Current work status of head,Working for someone else,77000.0,214700.0
4,Internal-Real,1995,Current work status of head,Self-employed,244000.0,1098000.0
4,Internal-Real,1995,Current work status of head,Retired,127100.0,352700.0
4,Internal-Real,1995,Current work status of head,Other not working,5700.0,89200.0
4,Internal-Real,1995,Current occupation of head,Managerial or professional,173200.0,674700.0
4,Internal-Real,1995,Current occupation of head,"Technical, sales, or services",58400.0,254000.0
4,Internal-Real,1995,Current occupation of head,Other occupation,70700.0,175000.0
4,Internal-Real,1995,Current occupation of head,Retired or other not working,97600.0,299100.0
4,Internal-Real,1995,Region,Northeast,129699.99999999999,393100.0
4,Internal-Real,1995,Region,Midwest,102800.0,311900.0
4,Internal-Real,1995,Region,South,69100.0,292200.0
4,Internal-Real,1995,Region,West,85700.0,364000.0
4,Internal-Real,1995,Urbanicity,Metropolitan statistical area (MSA),92900.0,354200.0
4,Internal-Real,1995,Urbanicity,Non-MSA,80000.0,203500.0
4,Internal-Real,1995,Housing status,Owner,163100.0,475800.0
4,Internal-Real,1995,Housing status,Renter or other,7600.0,68600.0
4,Internal-Real,1995,Percentile of net worth,Less than 25,1500.0,-200.0
4,Internal-Real,1995,Percentile of net worth,25–49.9,44200.0,47900.0
4,Internal-Real,1995,Percentile of net worth,50–74.9,149000.0,156000.0
4,Internal-Real,1995,Percentile of net worth,75–89.9,346400.0,373700.0
4,Internal-Real,1995,Percentile of net worth,90–100,1070100.0,2251000.0
4,Internal-Real,1998,,All families,105800.0,417300.0
4,Internal-Real,1998,Percentile of income,Less than 20,8600.0,70500.0
4,Internal-Real,1998,Percentile of income,20–39.9,48900.0,141800.0
4,Internal-Real,1998,Percentile of income,40–59.9,78800.0,186600.0
4,Internal-Real,1998,Percentile of income,60–79.9,165700.0,304500.0
4,Internal-Real,1998,Percentile of income,80–89.9,278100.0,480900.0
4,Internal-Real,1998,Percentile of income,90–100,667400.0,2285200.0
4,Internal-Real,1998,Age of head (years),Less than 35,13500.0,94200.0
4,Internal-Real,1998,Age of head (years),35–44,93600.0,289900.0
4,Internal-Real,1998,Age of head (years),45–54,155800.0,536800.0
4,Internal-Real,1998,Age of head (years),55–64,188700.0,786000.0
4,Internal-Real,1998,Age of head (years),65–74,216200.0,688600.0
4,Internal-Real,1998,Age of head (years),75 or more,185300.0,458600.0
4,Internal-Real,1998,Family structure,Single with child(ren),23800.0,151100.0
4,Internal-Real,1998,Family structure,"Single, no child, age less than 55",22800.0,136000.0
4,Internal-Real,1998,Family structure,"Single, no child, age 55 or more",128800.00000000001,363000.0
4,Internal-Real,1998,Family structure,Couple with child(ren),128500.0,440900.0
4,Internal-Real,1998,Family structure,"Couple, no child",219200.0,711800.0
4,Internal-Real,1998,Education of head,No high school diploma,31100.0,116400.0
4,Internal-Real,1998,Education of head,High school diploma,79800.0,232800.0
4,Internal-Real,1998,Education of head,Some college,113100.0,331500.0
4,Internal-Real,1998,Education of head,College degree,251000.0,903900.0
4,Internal-Real,1998,Race or ethnicity of respondent,White non-Hispanic,141400.0,498400.0
4,Internal-Real,1998,Race or ethnicity of respondent,Black or African-American non-hispanic,22900.0,94500.0
4,Internal-Real,1998,Race or ethnicity of respondent,Hispanic or Latino,14500.0,128500.0
4,Internal-Real,1998,Race or ethnicity of respondent,Other or Multiple Race,56600.0,323200.0
4,Internal-Real,1998,Current work status of head,Working for someone else,77900.0,248300.0
4,Internal-Real,1998,Current work status of head,Self-employed,366500.0,1366300.0
4,Internal-Real,1998,Current work status of head,Retired,166800.0,453800.0
4,Internal-Real,1998,Current work status of head,Other not working,5200.0,109200.0
4,Internal-Real,1998,Current occupation of head,Managerial or professional,195200.0,799500.0
4,Internal-Real,1998,Current occupation of head,"Technical, sales, or services",60100.0,285000.0
4,Internal-Real,1998,Current occupation of head,Other occupation,73800.0,186600.0
4,Internal-Real,1998,Current occupation of head,Retired or other not working,120800.0,395800.0
4,Internal-Real,1998,Region,Northeast,139200.0,447700.0
4,Internal-Real,1998,Region,Midwest,118500.0,367500.0
4,Internal-Real,1998,Region,South,90400.0,394300.0
4,Internal-Real,1998,Region,West,90400.0,483600.0
4,Internal-Real,1998,Urbanicity,Metropolitan statistical area (MSA),106900.0,452400.0
4,Internal-Real,1998,Urbanicity,Non-MSA,101900.0,213600.0
4,Internal-Real,1998,Housing status,Owner,194900.0,597400.0
4,Internal-Real,1998,Housing status,Renter or other,6300.0,64099.99999999999
4,Internal-Real,1998,Percentile of net worth,Less than 25,700.0,-2700.0
4,Internal-Real,1998,Percentile of net worth,25–49.9,48200.0,53000.0
4,Internal-Real,1998,Percentile of net worth,50–74.9,177800.0,189700.0
4,Internal-Real,1998,Percentile of net worth,75–89.9,457500.0,475200.0
4,Internal-Real,1998,Percentile of net worth,90–100,1322500.0,2860500.0
4,Internal-Real,2001,,All families,117300.0,538400.0
4,Internal-Real,2001,Percentile of income,Less than 20,10600.0,71600.0
4,Internal-Real,2001,Percentile of income,20–39.9,50700.0,156100.0
4,Internal-Real,2001,Percentile of income,40–59.9,86200.0,220500.0
4,Internal-Real,2001,Percentile of income,60–79.9,195500.0,398800.0
4,Internal-Real,2001,Percentile of income,80–89.9,356500.0,619500.0
4,Internal-Real,2001,Percentile of income,90–100,1129400.0,3070500.0
4,Internal-Real,2001,Age of head (years),Less than 35,15900.0,122900.0
4,Internal-Real,2001,Age of head (years),35–44,105100.0,352200.0
4,Internal-Real,2001,Age of head (years),45–54,182400.0,658900.0
4,Internal-Real,2001,Age of head (years),55–64,251200.0,993500.0
4,Internal-Real,2001,Age of head (years),65–74,240900.0,919200.0
4,Internal-Real,2001,Age of head (years),75 or more,210400.0,635500.0
4,Internal-Real,2001,Family structure,Single with child(ren),17900.0,129800.00000000001
4,Internal-Real,2001,Family structure,"Single, no child, age less than 55",26600.0,205200.0
4,Internal-Real,2001,Family structure,"Single, no child, age 55 or more",123800.0,393400.0
4,Internal-Real,2001,Family structure,Couple with child(ren),154000.0,597100.0
4,Internal-Real,2001,Family structure,"Couple, no child",240000.0,873600.0
4,Internal-Real,2001,Education of head,No high school diploma,34600.0,141000.0
4,Internal-Real,2001,Education of head,High school diploma,78700.0,245500.0
4,Internal-Real,2001,Education of head,Some college,112300.0,377200.0
4,Internal-Real,2001,Education of head,College degree,329200.0,1225700.0
4,Internal-Real,2001,Race or ethnicity of respondent,White non-Hispanic,166300.0,662300.0
4,Internal-Real,2001,Race or ethnicity of respondent,Black or African-American non-hispanic,26300.0,97000.0
4,Internal-Real,2001,Race or ethnicity of respondent,Hispanic or Latino,15500.0,119900.0
4,Internal-Real,2001,Race or ethnicity of respondent,Other or Multiple Race,71300.0,419300.0
4,Internal-Real,2001,Current work status of head,Working for someone else,88200.0,306100.0
4,Internal-Real,2001,Current work status of head,Self-employed,477300.0,1710000.0
4,Internal-Real,2001,Current work status of head,Retired,155900.0,615200.0
4,Internal-Real,2001,Current work status of head,Other not working,10400.0,241500.0
4,Internal-Real,2001,Current occupation of head,Managerial or professional,267700.0,1041900.0000000001
4,Internal-Real,2001,Current occupation of head,"Technical, sales, or services",63300.0,270500.0
4,Internal-Real,2001,Current occupation of head,Other occupation,65200.0,184800.0
4,Internal-Real,2001,Current occupation of head,Retired or other not working,130699.99999999999,554300.0
4,Internal-Real,2001,Region,Northeast,126300.0,615000.0
4,Internal-Real,2001,Region,Midwest,144100.0,462500.0
4,Internal-Real,2001,Region,South,100000.0,510100.0
4,Internal-Real,2001,Region,West,120500.0,599100.0
4,Internal-Real,2001,Urbanicity,Metropolitan statistical area (MSA),119500.0,580500.0
4,Internal-Real,2001,Urbanicity,Non-MSA,108400.0,276500.0
4,Internal-Real,2001,Housing status,Owner,233800.0,759900.0
4,Internal-Real,2001,Housing status,Renter or other,6500.0,74800.0
4,Internal-Real,2001,Percentile of net worth,Less than 25,1600.0,100.0
4,Internal-Real,2001,Percentile of net worth,25–49.9,55400.0,60200.0
4,Internal-Real,2001,Percentile of net worth,50–74.9,214000.0,226500.0
4,Internal-Real,2001,Percentile of net worth,75–89.9,583800.0,612000.0
4,Internal-Real,2001,Percentile of net worth,90–100,1771900.0,3748200.0
4,Internal-Real,2004,,All families,118400.0,571500.0
4,Internal-Real,2004,Percentile of income,Less than 20,9500.0,92400.0
4,Internal-Real,2004,Percentile of income,20–39.9,42900.0,154500.0
4,Internal-Real,2004,Percentile of income,40–59.9,91500.0,247600.0
4,Internal-Real,2004,Percentile of income,60–79.9,203400.0,434300.0
4,Internal-Real,2004,Percentile of income,80–89.9,398900.0,623000.0
4,Internal-Real,2004,Percentile of income,90–100,1182300.0,3233100.0
4,Internal-Real,2004,Age of head (years),Less than 35,18000.0,93500.0
4,Internal-Real,2004,Age of head (years),35–44,88300.0,381500.0
4,Internal-Real,2004,Age of head (years),45–54,184700.0,691700.0
4,Internal-Real,2004,Age of head (years),55–64,320600.0,1079200.0
4,Internal-Real,2004,Age of head (years),65–74,241800.0,878800.0
4,Internal-Real,2004,Age of head (years),75 or more,207400.0,671600.0
4,Internal-Real,2004,Family structure,Single with child(ren),26500.0,165700.0
4,Internal-Real,2004,Family structure,"Single, no child, age less than 55",26800.0,198800.0
4,Internal-Real,2004,Family structure,"Single, no child, age 55 or more",148100.0,448600.0
4,Internal-Real,2004,Family structure,Couple with child(ren),155400.0,641600.0
4,Internal-Real,2004,Family structure,"Couple, no child",265500.0,959600.0
4,Internal-Real,2004,Education of head,No high school diploma,26200.0,173600.0
4,Internal-Real,2004,Education of head,High school diploma,87400.0,251100.0
4,Internal-Real,2004,Education of head,Some college,99900.0,384700.0
4,Internal-Real,2004,Education of head,College degree,344200.0,1230300.0
4,Internal-Real,2004,Race or ethnicity of respondent,White non-Hispanic,179300.0,716500.0
4,Internal-Real,2004,Race or ethnicity of respondent,Black or African-American non-hispanic,26000.0,142900.0
4,Internal-Real,2004,Race or ethnicity of respondent,Hispanic or Latino,19400.0,158100.0
4,Internal-Real,2004,Race or ethnicity of respondent,Other or Multiple Race,90200.0,369100.0
4,Internal-Real,2004,Current work status of head,Working for someone else,85500.0,343400.0
4,Internal-Real,2004,Current work status of head,Self-employed,444500.0,1812500.0
4,Internal-Real,2004,Current work status of head,Retired,177800.0,596600.0
4,Internal-Real,2004,Current work status of head,Other not working,15000.0,206400.0
4,Internal-Real,2004,Current occupation of head,Managerial or professional,251200.0,1100400.0
4,Internal-Real,2004,Current occupation of head,"Technical, sales, or services",57200.0,314800.0
4,Internal-Real,2004,Current occupation of head,Other occupation,71800.0,187600.0
4,Internal-Real,2004,Current occupation of head,Retired or other not working,141300.0,536000.0
4,Internal-Real,2004,Region,Northeast,205700.0,724000.0
4,Internal-Real,2004,Region,Midwest,146300.0,556900.0
4,Internal-Real,2004,Region,South,81100.0,443200.0
4,Internal-Real,2004,Region,West,120800.0,669000.0
4,Internal-Real,2004,Urbanicity,Metropolitan statistical area (MSA),132800.0,643200.0
4,Internal-Real,2004,Urbanicity,Non-MSA,75400.0,224900.0
4,Internal-Real,2004,Housing status,Owner,234900.0,796800.0
4,Internal-Real,2004,Housing status,Renter or other,5100.0,68800.0
4,Internal-Real,2004,Percentile of net worth,Less than 25,2200.0,-1800.0
4,Internal-Real,2004,Percentile of net worth,25–49.9,55500.0,59900.0
4,Internal-Real,2004,Percentile of net worth,50–74.9,217400.0,236200.0
4,Internal-Real,2004,Percentile of net worth,75–89.9,648500.0,672500.0
4,Internal-Real,2004,Percentile of net worth,90–100,1818800.0,3969100.0
4,Internal-Real,2007,,All families,139700.0,645900.0
4,Internal-Real,2007,Percentile of income,Less than 20,9400.0,121900.0
4,Internal-Real,2007,Percentile of income,20–39.9,43800.0,156200.0
4,Internal-Real,2007,Percentile of income,40–59.9,102000.0,243800.0
4,Internal-Real,2007,Percentile of income,60–79.9,238400.0,434400.0
4,Internal-Real,2007,Percentile of income,80–89.9,412500.0,705300.0
4,Internal-Real,2007,Percentile of income,90–100,1295800.0,3840600.0
4,Internal-Real,2007,Age of head (years),Less than 35,13700.0,122800.0
4,Internal-Real,2007,Age of head (years),35–44,102200.0,377900.0
4,Internal-Real,2007,Age of head (years),45–54,214100.0,766900.0
4,Internal-Real,2007,Age of head (years),55–64,294300.0,1090700.0
4,Internal-Real,2007,Age of head (years),65–74,277300.0,1176200.0
4,Internal-Real,2007,Age of head (years),75 or more,247300.0,739200.0
4,Internal-Real,2007,Family structure,Single with child(ren),26900.0,207200.0
4,Internal-Real,2007,Family structure,"Single, no child, age less than 55",29000.0,240100.0
4,Internal-Real,2007,Family structure,"Single, no child, age 55 or more",166600.0,451900.0
4,Internal-Real,2007,Family structure,Couple with child(ren),163000.0,695300.0
4,Internal-Real,2007,Family structure,"Couple, no child",261100.00000000003,1103100.0
4,Internal-Real,2007,Education of head,No high school diploma,38400.0,165500.0
4,Internal-Real,2007,Education of head,High school diploma,93200.0,291500.0
4,Internal-Real,2007,Education of head,Some college,113600.0,418900.0
4,Internal-Real,2007,Education of head,College degree,373800.0,1460100.0
4,Internal-Real,2007,Race or ethnicity of respondent,White non-Hispanic,198300.0,803700.0
4,Internal-Real,2007,Race or ethnicity of respondent,Black or African-American non-hispanic,24400.0,155700.0
4,Internal-Real,2007,Race or ethnicity of respondent,Hispanic or Latino,24400.0,215600.0
4,Internal-Real,2007,Race or ethnicity of respondent,Other or Multiple Race,70300.0,457000.0
4,Internal-Real,2007,Current work status of head,Working for someone else,108900.0,407600.0
4,Internal-Real,2007,Current work status of head,Self-employed,450100.0,2274100.0
4,Internal-Real,2007,Current work status of head,Retired,187700.0,629100.0
4,Internal-Real,2007,Current work status of head,Other not working,6600.0,143800.0
4,Internal-Real,2007,Current occupation of head,Managerial or professional,286100.0,1298500.0
4,Internal-Real,2007,Current occupation of head,"Technical, sales, or services",85100.0,359300.0
4,Internal-Real,2007,Current occupation of head,Other occupation,75600.0,222500.0
4,Internal-Real,2007,Current occupation of head,Retired or other not working,149800.0,553300.0
4,Internal-Real,2007,Region,Northeast,184800.0,755700.0
4,Internal-Real,2007,Region,Midwest,124500.0,542900.0
4,Internal-Real,2007,Region,South,112700.0,581300.0
4,Internal-Real,2007,Region,West,181400.0,768600.0
4,Internal-Real,2007,Urbanicity,Metropolitan statistical area (MSA),153500.0,721100.0
4,Internal-Real,2007,Urbanicity,Non-MSA,90600.0,280700.0
4,Internal-Real,2007,Housing status,Owner,271900.0,903400.0
4,Internal-Real,2007,Housing status,Renter or other,5900.0,82500.0
4,Internal-Real,2007,Percentile of net worth,Less than 25,1400.0,-2600.0
4,Internal-Real,2007,Percentile of net worth,25–49.9,62800.0,67300.0
4,Internal-Real,2007,Percentile of net worth,50–74.9,255100.0,263700.0
4,Internal-Real,2007,Percentile of net worth,75–89.9,664000.0,680900.0
4,Internal-Real,2007,Percentile of net worth,90–100,2198800.0,4615400.0
4,Internal-Real,2010,,All families,85400.0,551300.0
4,Internal-Real,2010,Percentile of income,Less than 20,6800.0,129100.0
4,Internal-Real,2010,Percentile of income,20–39.9,28300.0,141400.0
4,Internal-Real,2010,Percentile of income,40–59.9,72800.0,220000.0
4,Internal-Real,2010,Percentile of income,60–79.9,142100.0,324900.0
4,Internal-Real,2010,Percentile of income,80–89.9,316800.0,627000.0
4,Internal-Real,2010,Percentile of income,90–100,1320000.0,3254400.0
4,Internal-Real,2010,Age of head (years),Less than 35,10300.0,72200.0
4,Internal-Real,2010,Age of head (years),35–44,46600.0,240300.0
4,Internal-Real,2010,Age of head (years),45–54,130300.00000000001,633400.0
4,Internal-Real,2010,Age of head (years),55–64,198300.0,973200.0
4,Internal-Real,2010,Age of head (years),65–74,228400.0,937700.0
4,Internal-Real,2010,Age of head (years),75 or more,239600.0,749300.0
4,Internal-Real,2010,Family structure,Single with child(ren),17200.0,158800.0
4,Internal-Real,2010,Family structure,"Single, no child, age less than 55",16100.000000000002,129900.0
4,Internal-Real,2010,Family structure,"Single, no child, age 55 or more",112700.0,432900.0
4,Internal-Real,2010,Family structure,Couple with child(ren),95800.0,614300.0
4,Internal-Real,2010,Family structure,"Couple, no child",227300.0,955900.0
4,Internal-Real,2010,Education of head,No high school diploma,17800.0,122300.0
4,Internal-Real,2010,Education of head,High school diploma,62600.0,241100.0
4,Internal-Real,2010,Education of head,Some college,63200.0,302200.0
4,Internal-Real,2010,Education of head,College degree,275900.0,1244500.0
4,Internal-Real,2010,Race or ethnicity of respondent,White non-Hispanic,144300.0,723500.0
4,Internal-Real,2010,Race or ethnicity of respondent,Black or African-American non-hispanic,17600.0,109800.0
4,Internal-Real,2010,Race or ethnicity of respondent,Hispanic or Latino,17900.0,127800.0
4,Internal-Real,2010,Race or ethnicity of respondent,Other or Multiple Race,47100.0,370700.0
4,Internal-Real,2010,Current work status of head,Working for someone else,61000.0,330200.0
4,Internal-Real,2010,Current work status of head,Self-employed,315700.0,1927400.0
4,Internal-Real,2010,Current work status of head,Retired,167000.0,536400.0
4,Internal-Real,2010,Current work status of head,Other not working,13200.0,152000.0
4,Internal-Real,2010,Current occupation of head,Managerial or professional,184900.0,1157300.0
4,Internal-Real,2010,Current occupation of head,"Technical, sales, or services",36000.0,242200.0
4,Internal-Real,2010,Current occupation of head,Other occupation,51500.0,180000.0
4,Internal-Real,2010,Current occupation of head,Retired or other not working,103300.0,453600.0
4,Internal-Real,2010,Region,Northeast,132500.0,680000.0
4,Internal-Real,2010,Region,Midwest,75600.0,441900.0
4,Internal-Real,2010,Region,South,75400.0,487300.0
4,Internal-Real,2010,Region,West,81200.0,663100.0
4,Internal-Real,2010,Urbanicity,Metropolitan statistical area (MSA),86600.0,611900.0
4,Internal-Real,2010,Urbanicity,Non-MSA,82400.0,261000.0
4,Internal-Real,2010,Housing status,Owner,192800.0,788600.0
4,Internal-Real,2010,Housing status,Renter or other,5600.0,63300.0
4,Internal-Real,2010,Percentile of net worth,Less than 25,0.0,-14100.0
4,Internal-Real,2010,Percentile of net worth,25–49.9,35600.0,39400.0
4,Internal-Real,2010,Percentile of net worth,50–74.9,173700.0,186600.0
4,Internal-Real,2010,Percentile of net worth,75–89.9,533600.0,583500.0
4,Internal-Real,2010,Percentile of net worth,90–100,2060500.0,4107800.0
4,Internal-Real,2013,,All families,83700.0,551300.0
4,Internal-Real,2013,Percentile of income,Less than 20,6300.0,88800.0
4,Internal-Real,2013,Percentile of income,20–39.9,23100.0,116200.0
4,Internal-Real,2013,Percentile of income,40–59.9,63700.0,173900.0
4,Internal-Real,2013,Percentile of income,60–79.9,164200.0,344000.0
4,Internal-Real,2013,Percentile of income,80–89.9,309900.0,655600.0
4,Internal-Real,2013,Percentile of income,90–100,1165900.0,3410800.0
4,Internal-Real,2013,Age of head (years),Less than 35,10700.0,77800.0
4,Internal-Real,2013,Age of head (years),35–44,48200.0,358000.0
4,Internal-Real,2013,Age of head (years),45–54,108600.0,546600.0
4,Internal-Real,2013,Age of head (years),55–64,171100.0,823300.0
4,Internal-Real,2013,Age of head (years),65–74,239300.0,1089800.0
4,Internal-Real,2013,Age of head (years),75 or more,200800.0,665300.0
4,Internal-Real,2013,Family structure,Single with child(ren),14500.0,133100.0
4,Internal-Real,2013,Family structure,"Single, no child, age less than 55",14600.0,152700.0
